Trial, SetSize, Cond, testChange, respChange, RT, study, test
1,8,3.0000,1,1,4.7026,10-7-8-4-5-9-12-11,10-7-8-2-5-1-12-0
2,5,3.0000,1,0,3.4873,6-0-10-8-7,2-5-11-8-7
3,5,3.0000,0,0,6.0476,7-9-4-6-1,7-9-4-6-1
4,8,3.0000,1,1,4.3524,0-12-11-10-3-4-1-2,0-9-5-6-3-4-1-2
5,8,3.0000,0,1,2.6374,11-12-8-9-10-4-3-2,11-12-8-9-10-4-3-2
6,5,3.0000,1,0,4.4967,3-0-2-9-12,10-0-8-9-6
7,5,3.0000,1,1,8.3522,7-6-11-2-10,8-6-11-5-4
8,8,3.0000,0,0,2.2206,10-1-5-8-9-3-11-6,10-1-5-8-9-3-11-6
9,5,3.0000,1,1,4.2484,0-9-11-2-6,1-4-11-2-8
10,8,3.0000,0,0,1.6012,8-4-12-3-7-9-0-5,8-4-12-3-7-9-0-5
11,8,3.0000,0,0,1.4360,10-8-4-2-0-6-1-5,10-8-4-2-0-6-1-5
12,8,3.0000,1,0,1.5096,7-3-8-5-12-6-4-11,9-3-10-5-12-6-0-11
13,5,3.0000,0,0,0.9175,12-11-2-10-7,12-11-2-10-7
14,5,3.0000,0,0,0.8763,8-11-9-3-4,8-11-9-3-4
15,5,3.0000,1,1,1.6932,8-7-11-12-0,8-10-9-12-4
16,8,3.0000,0,0,0.9798,3-6-5-0-7-8-12-11,3-6-5-0-7-8-12-11
17,5,3.0000,0,0,0.9049,1-2-6-0-9,1-2-6-0-9
18,5,3.0000,0,0,0.7132,7-9-10-11-2,7-9-10-11-2
19,8,3.0000,1,1,2.6383,6-0-2-8-10-4-11-9,6-0-3-8-10-12-11-1
20,8,3.0000,1,1,1.4320,6-1-8-5-2-12-10-11,3-1-8-5-0-12-10-7
21,5,3.0000,0,0,1.2031,2-6-3-5-10,2-6-3-5-10
22,8,3.0000,1,0,1.1330,5-6-7-3-8-11-1-10,5-6-12-4-8-11-9-10
23,8,3.0000,0,1,3.5545,10-3-8-7-5-11-9-12,10-3-8-7-5-11-9-12
24,8,3.0000,0,0,4.8634,4-6-9-0-8-10-2-7,4-6-9-0-8-10-2-7
25,8,3.0000,0,0,1.8166,10-0-6-8-1-12-7-2,10-0-6-8-1-12-7-2
26,5,3.0000,1,1,1.2284,11-9-3-12-8,6-9-7-12-5
27,5,3.0000,1,1,2.3186,10-8-4-9-1,11-6-4-9-5
28,5,3.0000,0,0,1.6936,7-6-3-10-8,7-6-3-10-8
29,5,3.0000,1,1,2.7657,10-11-0-2-6,10-7-1-9-6
30,8,3.0000,0,1,3.9217,8-1-0-11-2-6-5-7,8-1-0-11-2-6-5-7
31,5,3.0000,1,1,1.1378,1-12-10-0-4,2-8-10-6-4
32,8,3.0000,1,0,2.4623,2-12-3-1-5-10-11-0,2-9-8-1-5-10-11-7
33,5,3.0000,1,1,1.5842,1-9-3-6-4,1-10-3-0-7
34,8,3.0000,0,0,1.4588,11-7-2-3-4-12-10-6,11-7-2-3-4-12-10-6
35,8,3.0000,1,0,4.7076,12-0-2-9-5-4-11-1,12-6-2-9-5-10-11-7
36,8,3.0000,0,0,1.0034,10-8-12-11-4-9-1-5,10-8-12-11-4-9-1-5
37,5,3.0000,1,1,1.1431,2-7-11-3-5,2-9-11-4-0
38,8,3.0000,1,0,1.5317,9-10-0-3-12-1-6-2,7-10-0-3-12-11-8-2
39,8,3.0000,1,1,2.0499,0-2-11-1-5-4-9-7,12-2-11-1-6-4-9-8
40,8,3.0000,1,0,1.8349,10-1-7-11-2-6-3-4,8-1-7-0-2-6-9-4
41,5,3.0000,1,1,1.6700,9-3-0-8-5,4-12-7-8-5
42,8,3.0000,0,0,1.0773,7-4-1-11-12-2-5-0,7-4-1-11-12-2-5-0
43,5,3.0000,0,0,1.4705,4-7-11-0-6,4-7-11-0-6
44,5,3.0000,0,0,5.1512,6-5-3-8-11,6-5-3-8-11
45,8,3.0000,0,0,0.6675,1-9-4-5-6-12-8-0,1-9-4-5-6-12-8-0
46,5,3.0000,1,1,2.5972,3-8-1-5-12,9-2-1-10-12
47,8,3.0000,1,1,1.1919,10-12-6-4-11-8-1-3,10-2-7-4-11-8-5-3
48,5,3.0000,1,1,2.3810,9-12-7-8-11,9-3-4-0-11
49,8,3.0000,1,0,0.9523,4-1-2-8-0-12-3-7,5-1-2-8-6-12-3-10
50,8,3.0000,0,0,2.4691,3-9-5-12-2-10-7-4,3-9-5-12-2-10-7-4
51,5,3.0000,0,0,1.3031,4-10-5-7-12,4-10-5-7-12
52,8,3.0000,0,0,1.9650,5-9-6-2-8-7-12-4,5-9-6-2-8-7-12-4
53,5,3.0000,0,0,0.9630,8-9-3-1-12,8-9-3-1-12
54,5,3.0000,0,0,1.2957,2-5-9-1-8,2-5-9-1-8
55,5,3.0000,0,0,0.7433,0-6-10-7-4,0-6-10-7-4
56,5,3.0000,0,0,0.4855,7-11-10-0-1,7-11-10-0-1
57,8,3.0000,1,0,2.1240,6-11-3-5-7-10-12-4,6-1-3-0-7-10-12-8
58,8,3.0000,0,0,1.4503,9-4-5-11-8-3-2-7,9-4-5-11-8-3-2-7
59,8,3.0000,1,0,1.2991,0-10-6-3-5-2-9-1,11-10-6-3-7-2-9-4
60,5,3.0000,0,0,3.9636,10-11-8-9-4,10-11-8-9-4
61,5,3.0000,1,1,1.6326,2-9-0-5-4,2-9-12-6-7
62,5,3.0000,1,1,4.6028,2-8-10-12-5,4-8-10-0-9
63,5,3.0000,0,0,1.8464,7-10-4-11-12,7-10-4-11-12
64,5,3.0000,0,0,2.8001,7-0-4-5-2,7-0-4-5-2
65,8,3.0000,0,0,0.8507,2-10-6-12-7-0-11-9,2-10-6-12-7-0-11-9
66,5,3.0000,1,1,1.1813,9-7-6-5-0,9-7-10-12-1
67,8,3.0000,1,1,1.2165,10-0-3-8-9-1-7-2,10-0-12-8-9-4-6-2
68,8,3.0000,1,1,0.9867,5-12-2-3-4-1-11-6,7-12-2-8-4-0-11-6
1,8,4.0000,1,1,5.3829,1-3-12-7-6-2-8-4,9-11-5-7-6-2-0-4
2,8,4.0000,0,0,1.0507,11-7-2-9-8-0-3-1,11-7-2-9-8-0-3-1
3,5,4.0000,1,1,1.9652,10-7-12-2-5,0-1-8-3-5
4,8,4.0000,0,0,1.1851,10-3-1-11-12-6-7-2,10-3-1-11-12-6-7-2
5,8,4.0000,1,1,2.0207,4-2-0-1-11-3-9-10,7-8-0-1-12-5-9-10
6,8,4.0000,1,1,1.3030,5-10-0-9-3-11-6-4,12-10-2-9-1-11-6-7
7,5,4.0000,0,0,1.1514,2-4-6-5-10,2-4-6-5-10
8,8,4.0000,0,0,1.4833,2-11-3-8-7-0-12-9,2-11-3-8-7-0-12-9
9,5,4.0000,0,0,1.1485,7-0-8-11-12,7-0-8-11-12
10,8,4.0000,1,1,1.0491,3-0-8-10-9-11-4-2,3-6-1-10-7-11-5-2
11,8,4.0000,1,1,4.5139,0-9-7-12-2-5-1-6,8-4-7-12-11-5-1-3
12,5,4.0000,0,0,0.9619,0-6-5-10-7,0-6-5-10-7
13,8,4.0000,1,1,1.0058,1-8-9-5-3-2-10-7,1-4-12-0-11-2-10-7
14,5,4.0000,0,0,1.0103,9-8-10-7-2,9-8-10-7-2
15,8,4.0000,1,1,0.9082,0-2-7-12-1-4-8-3,0-11-5-12-10-6-8-3
16,8,4.0000,0,0,0.7790,10-4-7-6-2-1-3-0,10-4-7-6-2-1-3-0
