Trial, SetSize, Cond, testChange, respChange, RT, study, test
1,5,4.0000,1,1,13.1703,11-0-9-10-12,6-5-7-10-3
2,5,4.0000,1,1,3.4640,11-4-5-7-3,1-4-10-12-9
3,8,4.0000,1,1,4.0959,5-2-6-12-4-10-8-1,5-0-11-12-4-7-8-3
4,5,4.0000,1,1,2.4966,11-1-6-2-10,12-9-8-3-10
5,5,4.0000,1,1,4.0561,11-12-10-5-6,0-2-1-5-3
6,8,4.0000,0,0,2.7922,0-4-9-7-12-8-3-2,0-4-9-7-12-8-3-2
7,5,4.0000,1,1,3.1814,0-4-2-7-1,5-8-2-6-11
8,8,4.0000,0,0,2.0727,9-0-10-1-3-5-4-11,9-0-10-1-3-5-4-11
9,8,4.0000,0,0,4.9930,11-8-12-1-7-9-4-6,11-8-12-1-7-9-4-6
10,5,4.0000,1,1,1.4777,4-12-1-10-11,8-12-6-5-0
11,5,4.0000,1,1,1.0459,6-0-10-9-3,2-5-10-4-12
12,5,4.0000,0,0,1.2795,1-10-3-2-6,1-10-3-2-6
13,8,4.0000,0,0,5.8547,0-9-8-1-4-7-11-10,0-9-8-1-4-7-11-10
14,8,4.0000,1,1,2.6238,0-12-5-1-11-3-10-9,0-2-8-1-7-3-6-9
15,8,4.0000,1,1,1.4981,7-4-6-1-9-2-5-10,3-4-6-1-12-0-5-8
16,5,4.0000,0,0,1.3226,11-5-1-7-12,11-5-1-7-12
17,8,4.0000,1,1,3.0638,4-8-7-0-3-5-10-9,2-12-7-0-1-5-10-11
18,8,4.0000,1,0,1.6088,9-11-8-2-10-7-0-1,12-5-6-2-10-7-0-3
19,8,4.0000,0,0,1.6276,12-2-0-10-3-9-5-6,12-2-0-10-3-9-5-6
20,5,4.0000,0,0,2.0708,12-0-4-1-8,12-0-4-1-8
21,5,4.0000,0,0,5.6556,3-8-4-10-2,3-8-4-10-2
22,5,4.0000,0,0,1.8414,7-4-10-12-1,7-4-10-12-1
23,8,4.0000,1,1,3.7061,10-5-6-7-8-0-9-3,4-5-12-7-1-2-9-3
24,5,4.0000,1,1,1.6987,0-3-11-8-10,5-4-7-6-10
25,5,4.0000,0,0,1.0183,2-9-12-8-4,2-9-12-8-4
26,8,4.0000,0,0,1.5395,6-11-5-12-4-2-3-9,6-11-5-12-4-2-3-9
27,8,4.0000,0,0,2.3290,4-3-6-10-9-2-12-1,4-3-6-10-9-2-12-1
28,5,4.0000,0,0,3.2002,4-9-10-7-6,4-9-10-7-6
29,8,4.0000,0,0,1.5230,1-8-5-7-11-12-4-2,1-8-5-7-11-12-4-2
30,8,4.0000,1,1,2.4330,0-9-5-7-4-10-6-8,11-9-5-3-4-12-1-8
31,5,4.0000,0,0,1.2603,12-1-5-2-0,12-1-5-2-0
32,5,4.0000,0,0,2.0779,7-10-12-4-1,7-10-12-4-1
33,5,4.0000,0,0,0.9182,8-9-11-0-10,8-9-11-0-10
34,8,4.0000,1,1,2.2274,10-7-1-0-8-12-5-6,10-7-11-3-2-4-5-6
35,5,4.0000,0,0,0.9985,5-6-4-11-3,5-6-4-11-3
36,8,4.0000,1,1,1.0012,4-10-8-12-3-1-0-9,2-10-5-12-11-7-0-9
37,8,4.0000,0,0,2.6840,3-8-10-11-6-7-0-4,3-8-10-11-6-7-0-4
38,5,4.0000,1,1,1.0213,5-3-7-9-8,4-1-0-9-11
39,8,4.0000,0,0,1.1184,12-3-5-1-7-8-11-2,12-3-5-1-7-8-11-2
40,5,4.0000,0,0,1.7343,12-8-2-0-11,12-8-2-0-11
41,5,4.0000,1,1,1.0845,9-10-11-7-5,0-8-11-2-3
42,8,4.0000,1,1,2.0911,2-1-7-9-8-12-0-5,2-10-11-6-8-12-0-3
43,5,4.0000,0,0,1.1163,7-11-0-10-12,7-11-0-10-12
44,8,4.0000,1,1,1.3623,1-11-2-8-4-10-0-5,1-3-9-8-4-10-6-7
45,5,4.0000,1,1,0.8561,11-10-5-4-6,0-10-1-3-8
46,5,4.0000,0,0,1.0736,5-3-12-6-1,5-3-12-6-1
47,8,4.0000,0,0,0.9768,4-3-2-1-8-0-7-9,4-3-2-1-8-0-7-9
48,5,4.0000,1,1,0.7820,10-2-4-7-11,9-12-5-7-1
49,5,4.0000,0,0,1.1702,9-2-0-8-12,9-2-0-8-12
50,8,4.0000,1,1,1.4295,0-5-4-3-8-9-2-7,6-1-12-3-8-9-11-7
51,8,4.0000,0,0,0.8397,3-12-11-4-7-1-2-6,3-12-11-4-7-1-2-6
52,8,4.0000,1,1,1.6492,1-9-7-5-8-3-4-12,10-9-7-0-8-2-4-6
53,5,4.0000,1,1,1.7717,10-2-7-5-9,12-1-0-5-3
54,5,4.0000,1,1,0.8006,9-10-6-8-7,9-3-11-0-2
55,5,4.0000,0,0,1.3321,12-6-9-1-8,12-6-9-1-8
56,5,4.0000,1,1,1.1070,0-6-10-2-11,4-8-10-3-12
57,8,4.0000,1,1,0.9843,1-2-3-5-9-7-8-11,12-2-4-5-9-7-6-0
58,8,4.0000,1,1,0.9958,5-8-3-7-1-4-11-6,2-8-3-0-1-4-10-9
59,8,4.0000,0,1,3.8231,6-0-1-8-2-10-12-7,6-0-1-8-2-10-12-7
60,5,4.0000,0,0,0.8679,6-1-10-7-0,6-1-10-7-0
61,8,4.0000,0,0,0.9544,6-11-3-7-0-1-9-8,6-11-3-7-0-1-9-8
62,8,4.0000,1,1,1.2234,1-11-7-10-2-4-3-5,9-6-0-10-2-4-3-12
63,8,4.0000,0,0,1.4335,7-0-9-4-3-10-2-12,7-0-9-4-3-10-2-12
64,8,4.0000,0,0,1.1078,10-9-6-8-2-7-11-0,10-9-6-8-2-7-11-0
