Trial, SetSize, Cond, testChange, respChange, RT, study, test
1,8,3.0000,1,1,1.8700,6-7-2-3-10-9-8-5,6-7-2-11-1-12-8-5
2,5,3.0000,1,1,0.9679,2-4-3-11-9,6-4-3-0-1
3,8,3.0000,1,1,0.8431,11-4-12-6-7-9-2-5,11-0-1-3-7-9-2-5
4,5,3.0000,1,1,0.8138,3-4-12-10-2,5-0-12-10-7
5,5,3.0000,1,1,0.6887,1-5-12-11-0,8-6-12-2-0
6,8,3.0000,1,0,0.9832,2-7-5-3-0-12-9-6,2-11-5-3-0-1-4-6
7,5,3.0000,1,1,0.7564,1-6-2-5-12,1-6-4-9-11
8,8,3.0000,0,0,0.6803,1-3-8-0-12-11-5-4,1-3-8-0-12-11-5-4
9,5,3.0000,1,1,0.7696,5-12-3-9-7,5-0-3-8-6
10,8,3.0000,0,0,0.8529,10-1-5-7-8-12-11-3,10-1-5-7-8-12-11-3
11,5,3.0000,0,0,0.5834,10-1-4-5-2,10-1-4-5-2
12,8,3.0000,0,0,0.5067,10-1-11-5-2-7-9-3,10-1-11-5-2-7-9-3
13,8,3.0000,0,0,0.6416,4-1-6-9-11-2-10-7,4-1-6-9-11-2-10-7
14,5,3.0000,0,0,0.5967,9-4-0-11-8,9-4-0-11-8
15,5,3.0000,0,0,0.7363,9-5-1-3-4,9-5-1-3-4
16,8,3.0000,1,0,0.4210,9-10-5-6-7-11-12-3,0-10-8-6-4-11-12-3
17,8,3.0000,1,0,0.5752,4-3-12-10-8-11-7-9,4-1-12-5-8-11-7-6
18,5,3.0000,0,0,0.5410,12-8-0-1-5,12-8-0-1-5
19,8,3.0000,1,0,1.1534,4-11-9-3-5-10-8-12,7-11-6-3-5-10-8-1
20,8,3.0000,0,0,0.6386,10-3-9-4-12-0-5-7,10-3-9-4-12-0-5-7
21,8,3.0000,1,1,0.6801,2-4-10-1-5-12-0-7,8-4-10-3-11-12-0-7
22,5,3.0000,0,0,0.7534,12-7-1-2-10,12-7-1-2-10
23,5,3.0000,1,0,0.7828,3-7-9-6-12,1-7-4-2-12
24,8,3.0000,1,1,0.6742,4-12-2-9-10-8-5-7,4-12-6-3-10-11-5-7
25,5,3.0000,1,1,0.5481,10-2-4-1-12,8-9-4-1-11
26,5,3.0000,0,0,0.6656,5-1-8-7-11,5-1-8-7-11
27,8,3.0000,1,1,0.7456,7-8-4-11-0-6-10-3,7-8-5-9-0-2-10-3
28,5,3.0000,0,0,0.6479,2-11-0-7-10,2-11-0-7-10
29,8,3.0000,1,1,0.6807,3-12-7-9-10-4-1-11,3-12-7-6-10-5-2-11
30,5,3.0000,0,0,0.6019,11-10-4-9-7,11-10-4-9-7
31,5,3.0000,0,0,0.6214,1-0-11-12-2,1-0-11-12-2
32,8,3.0000,1,0,0.4947,3-8-4-10-1-11-5-12,3-2-4-10-0-7-5-12
33,5,3.0000,0,0,0.9032,8-0-4-2-10,8-0-4-2-10
34,8,3.0000,0,0,0.5732,11-4-3-9-10-1-6-8,11-4-3-9-10-1-6-8
35,8,3.0000,0,0,0.4654,11-10-5-8-7-4-2-1,11-10-5-8-7-4-2-1
36,8,3.0000,1,1,0.7063,2-0-10-6-7-5-11-1,3-0-10-6-9-5-11-12
37,8,3.0000,0,0,0.7051,4-12-6-2-8-11-1-3,4-12-6-2-8-11-1-3
38,8,3.0000,1,1,0.6321,11-4-1-10-9-7-12-0,11-4-1-5-9-6-12-2
39,5,3.0000,0,0,0.6033,0-11-3-1-8,0-11-3-1-8
40,8,3.0000,1,1,0.5972,5-4-10-8-7-9-11-6,5-0-12-8-7-9-3-6
41,8,3.0000,0,0,0.4488,12-7-6-10-2-8-5-9,12-7-6-10-2-8-5-9
42,5,3.0000,1,1,0.4833,6-5-7-0-9,11-4-7-0-2
43,5,3.0000,0,0,0.5875,4-0-7-11-1,4-0-7-11-1
44,5,3.0000,0,0,0.5036,4-5-7-6-3,4-5-7-6-3
45,5,3.0000,1,1,0.5593,12-0-1-8-4,12-9-1-10-5
46,5,3.0000,0,1,0.6849,12-5-2-7-0,12-5-2-7-0
47,8,3.0000,0,0,0.5554,6-1-10-5-11-9-12-2,6-1-10-5-11-9-12-2
48,5,3.0000,1,0,0.5219,11-0-12-9-7,2-0-6-9-1
49,8,3.0000,0,0,0.4873,2-7-10-12-5-11-4-3,2-7-10-12-5-11-4-3
50,8,3.0000,0,0,0.5428,10-6-8-5-12-11-7-9,10-6-8-5-12-11-7-9
51,8,3.0000,0,0,0.5964,9-8-2-3-1-5-11-12,9-8-2-3-1-5-11-12
52,5,3.0000,0,0,0.6489,5-0-7-10-12,5-0-7-10-12
53,5,3.0000,1,1,0.6185,7-9-12-6-0,5-3-11-6-0
54,8,3.0000,1,1,0.4837,8-1-3-6-0-4-11-9,2-1-3-5-0-12-11-9
55,8,3.0000,1,0,0.4113,4-10-11-0-1-12-9-5,4-3-11-0-1-2-7-5
56,8,3.0000,0,0,0.5262,0-6-2-4-11-9-1-7,0-6-2-4-11-9-1-7
57,5,3.0000,0,0,0.5173,0-1-8-9-11,0-1-8-9-11
58,5,3.0000,1,1,0.7162,9-4-3-10-1,2-11-3-10-12
59,5,3.0000,1,1,0.6031,0-4-11-2-9,3-4-12-7-9
60,8,3.0000,1,1,0.7891,11-4-1-6-0-8-7-5,11-4-1-9-3-8-2-5
61,5,3.0000,1,1,0.6742,5-12-6-0-8,5-10-4-11-8
62,5,3.0000,1,0,1.3392,7-9-2-8-4,6-9-12-8-0
63,8,3.0000,0,0,0.4158,0-12-2-6-3-11-1-5,0-12-2-6-3-11-1-5
64,5,3.0000,0,0,0.4357,0-7-4-9-1,0-7-4-9-1
65,5,3.0000,1,1,0.9739,1-6-3-12-9,1-11-3-7-2
66,5,3.0000,1,0,0.7068,1-9-11-4-0,3-9-7-4-8
67,8,3.0000,0,1,0.8328,11-7-9-8-5-4-3-0,11-7-9-8-5-4-3-0
