Trial, SetSize, Cond, testChange, respChange, RT, study, test
1,8,4.0000,0,0,3.5538,3-12-11-9-2-10-6-5,3-12-11-9-2-10-6-5
2,8,4.0000,0,1,2.3505,8-6-9-11-7-0-12-5,8-6-9-11-7-0-12-5
3,8,4.0000,0,1,9.7553,1-9-7-4-11-3-10-6,1-9-7-4-11-3-10-6
4,5,4.0000,0,0,2.0744,0-5-2-7-10,0-5-2-7-10
5,5,4.0000,0,0,1.8752,12-7-0-5-9,12-7-0-5-9
6,5,4.0000,0,0,1.4362,8-12-7-1-4,8-12-7-1-4
7,5,4.0000,0,0,1.7104,7-8-6-9-10,7-8-6-9-10
8,8,4.0000,1,0,1.2603,7-6-10-0-3-12-8-2,7-6-11-1-3-5-9-2
9,5,4.0000,1,1,1.8381,1-10-8-12-4,2-3-9-12-0
10,8,4.0000,1,0,2.0547,12-11-7-2-4-8-5-6,3-9-7-2-4-8-0-10
11,5,4.0000,0,1,4.4493,0-1-6-12-4,0-1-6-12-4
12,8,4.0000,1,1,3.1780,10-12-4-5-9-8-2-7,10-1-4-5-6-8-0-3
13,8,4.0000,1,0,5.3902,12-10-11-8-0-1-9-6,3-7-11-8-4-1-9-2
14,8,4.0000,1,1,1.5221,11-8-4-7-9-12-0-6,11-2-3-1-9-12-10-6
15,8,4.0000,1,0,6.2802,5-7-10-2-6-11-8-0,5-12-4-2-6-1-8-9
16,5,4.0000,1,0,3.0336,3-9-12-8-7,5-2-12-4-0
17,8,4.0000,1,1,1.2263,3-5-1-11-2-12-0-6,10-5-1-11-9-4-0-7
18,8,4.0000,1,0,2.2845,3-9-2-5-0-7-8-11,3-9-1-5-12-7-4-10
19,5,4.0000,0,0,2.2697,11-4-1-9-10,11-4-1-9-10
20,8,4.0000,0,0,1.4370,10-2-7-5-0-11-4-1,10-2-7-5-0-11-4-1
21,8,4.0000,0,0,1.6546,12-8-1-0-6-11-2-9,12-8-1-0-6-11-2-9
22,5,4.0000,0,0,1.0570,12-4-6-1-5,12-4-6-1-5
23,8,4.0000,1,0,2.4810,5-1-12-4-10-11-3-2,0-1-6-4-10-8-3-7
24,5,4.0000,1,1,1.2742,9-8-3-0-12,7-8-2-4-11
25,5,4.0000,0,0,1.4911,4-8-11-5-0,4-8-11-5-0
26,8,4.0000,1,0,1.4018,4-2-7-1-3-8-9-5,12-2-10-1-3-0-9-6
27,5,4.0000,1,1,1.1822,11-1-6-5-9,8-0-6-3-7
28,8,4.0000,1,0,1.2494,1-2-7-8-0-6-11-4,10-2-9-8-0-3-11-5
29,5,4.0000,0,1,7.1558,6-9-10-12-8,6-9-10-12-8
30,5,4.0000,1,0,1.6738,2-3-6-11-0,2-12-5-8-7
31,8,4.0000,0,0,3.3529,3-2-7-6-4-10-1-5,3-2-7-6-4-10-1-5
32,5,4.0000,1,1,0.7037,9-11-8-2-4,0-5-7-1-4
33,5,4.0000,1,1,1.0232,11-3-1-0-7,11-2-4-10-6
34,8,4.0000,0,0,1.6084,4-12-5-3-2-7-9-0,4-12-5-3-2-7-9-0
35,8,4.0000,0,0,1.7153,1-6-9-4-2-12-11-3,1-6-9-4-2-12-11-3
36,5,4.0000,0,0,2.1071,3-12-7-8-6,3-12-7-8-6
37,5,4.0000,1,1,0.8507,5-6-1-4-7,9-6-0-11-2
38,8,4.0000,0,0,1.2746,2-5-9-3-1-12-7-0,2-5-9-3-1-12-7-0
39,5,4.0000,0,0,1.0204,2-3-8-10-6,2-3-8-10-6
40,5,4.0000,1,1,1.1833,12-10-5-9-8,0-3-4-7-8
41,8,4.0000,0,0,1.0586,8-7-10-4-11-2-12-1,8-7-10-4-11-2-12-1
