Trial, SetSize, Cond, testChange, respChange, RT, study, test
1,8,4.0000,0,0,1.7762,7-9-4-12-2-8-6-1,7-9-4-12-2-8-6-1
2,5,4.0000,0,0,0.5734,8-7-4-10-12,8-7-4-10-12
3,8,4.0000,1,1,0.7367,7-6-8-10-9-1-12-4,3-6-0-10-9-1-11-2
4,8,4.0000,1,0,0.7023,2-11-12-6-3-4-1-10,2-9-8-6-0-4-1-5
5,5,4.0000,1,1,0.5028,11-0-3-1-8,11-7-10-6-5
6,8,4.0000,1,0,1.4926,11-12-9-6-5-4-7-1,11-3-2-8-0-4-7-1
7,5,4.0000,1,1,0.7254,0-11-5-1-10,2-11-6-9-4
8,8,4.0000,1,1,0.7786,1-5-6-4-0-9-3-2,7-10-8-12-0-9-3-2
9,5,4.0000,0,0,0.7439,6-9-3-4-10,6-9-3-4-10
10,5,4.0000,1,1,1.2295,0-6-5-4-9,10-6-11-8-7
11,5,4.0000,0,1,5.4077,5-3-2-12-8,5-3-2-12-8
12,8,4.0000,0,0,0.5059,1-6-4-12-9-3-8-10,1-6-4-12-9-3-8-10
13,8,4.0000,1,0,0.8168,8-4-0-2-7-5-10-1,8-12-0-2-6-5-9-3
14,5,4.0000,1,0,1.8127,0-2-12-7-8,4-5-12-1-9
15,8,4.0000,0,0,0.9747,10-7-0-1-11-2-4-12,10-7-0-1-11-2-4-12
16,8,4.0000,1,1,3.1076,6-5-2-9-1-0-12-8,6-5-2-9-3-10-7-4
17,5,4.0000,1,1,4.7716,3-11-10-8-2,0-6-1-5-2
18,5,4.0000,0,0,0.7928,6-10-4-12-0,6-10-4-12-0
19,8,4.0000,0,0,0.8114,10-0-1-11-8-12-5-2,10-0-1-11-8-12-5-2
20,8,4.0000,0,0,9.1262,8-9-1-6-3-7-12-4,8-9-1-6-3-7-12-4
21,8,4.0000,0,1,3.3969,7-2-10-3-12-6-5-1,7-2-10-3-12-6-5-1
22,5,4.0000,0,0,0.8177,5-1-4-11-12,5-1-4-11-12
23,5,4.0000,0,0,3.1406,1-11-3-4-2,1-11-3-4-2
24,5,4.0000,1,1,0.2590,6-2-4-5-0,1-8-12-5-7
25,8,4.0000,0,0,3.7068,1-2-7-4-11-10-8-12,1-2-7-4-11-10-8-12
26,5,4.0000,0,0,0.3875,11-0-2-7-3,11-0-2-7-3
27,5,4.0000,1,1,0.7440,12-1-3-5-0,9-1-2-7-8
28,8,4.0000,1,0,8.2683,5-12-10-7-4-9-6-2,3-12-10-7-0-11-1-2
29,8,4.0000,1,1,0.9410,1-6-10-11-2-3-9-0,4-6-8-11-12-3-5-0
