Trial, SetSize, Cond, testChange, respChange, RT, study, test
1,8,4.0000,1,1,3.0200,7-0-3-1-4-8-2-6,12-0-9-1-5-8-10-6
2,8,4.0000,1,0,1.9984,3-4-5-1-12-2-7-9,3-4-5-10-12-11-0-8
3,5,4.0000,1,1,1.2591,12-4-1-7-0,3-2-10-7-11
4,5,4.0000,1,1,1.2360,10-12-2-3-9,0-1-4-7-9
5,5,4.0000,1,1,0.9583,7-11-3-10-12,8-0-2-4-12
6,5,4.0000,0,0,1.5799,0-3-10-4-8,0-3-10-4-8
7,8,4.0000,1,1,0.9832,3-5-10-12-1-4-9-11,7-8-10-12-1-2-0-11
8,8,4.0000,0,0,1.3547,2-12-10-7-3-6-9-11,2-12-10-7-3-6-9-11
9,5,4.0000,0,0,1.5453,1-4-7-5-3,1-4-7-5-3
10,8,4.0000,0,0,1.1417,1-2-11-7-6-0-12-5,1-2-11-7-6-0-12-5
11,5,4.0000,0,0,0.7486,11-4-7-1-6,11-4-7-1-6
12,5,4.0000,0,0,1.1061,7-11-1-9-8,7-11-1-9-8
13,8,4.0000,0,0,1.2400,4-1-6-11-10-3-12-5,4-1-6-11-10-3-12-5
14,5,4.0000,1,1,1.1953,2-7-3-11-6,2-5-8-4-10
15,5,4.0000,0,0,0.9909,5-8-2-7-6,5-8-2-7-6
16,8,4.0000,0,0,1.4895,11-1-3-5-8-0-12-10,11-1-3-5-8-0-12-10
17,5,4.0000,0,0,1.0029,12-8-0-9-11,12-8-0-9-11
18,8,4.0000,0,0,1.4207,11-4-7-9-2-6-10-0,11-4-7-9-2-6-10-0
19,5,4.0000,0,1,0.9767,11-0-7-9-1,11-0-7-9-1
20,8,4.0000,1,1,1.2837,11-6-4-7-9-1-12-0,3-6-10-7-9-5-12-2
21,5,4.0000,0,0,1.0612,9-12-6-8-3,9-12-6-8-3
22,8,4.0000,1,1,1.0851,10-2-1-4-9-7-8-0,10-2-1-6-12-7-3-5
