501,F,19,10/14/2016
502,M,19,10/14/2016
503,M,20,10/14/2016
504,M,18,10/20/2016
505,M,19,10/20/2016
506,M,18,10/20/2016
507,M,19,10/20/2016
508,M,18,10/20/2016
509,F,18,10/20/2016
510,M,18,10/20/2016
511,F,19,10/20/2016
512,F,19,10/21/2016
513,F,18,10/21/2016
514,F,18,10/21/2016
515,M,19,10/21/2016
516,M,20,10/21/2016
517,M,18,10/21/2016
518,F,19,10/21/2016
519,M,19,10/21/2016
520,M,20,10/27/2016
521,F,19,10/27/2016
522,M,18,10/27/2016
523,F,18,10/27/2016
524,F,18,10/27/2016
525,M,18,10/27/2016
526,M,18,10/28/2016
527,M,21,10/28/2016
528,M,19,10/28/2016
529,F,18,11/3/2016
530,F,19,11/3/2016
531,M,18,11/3/2016
532,F,18,11/3/2016
,,,
