Trial, SetSize, Cond, testChange, respChange, RT, study, test
1,8,0.7000,1,1,9.6703,41258769,0
2,2,0.7000,1,1,3.4728,36,0
3,5,0.7000,0,1,2.2048,27189,1
4,5,0.7000,0,0,17.9600,83549,8
5,8,0.7000,0,0,1.5922,39175408,8
6,2,0.7000,1,1,1.2675,17,5
7,5,0.7000,1,1,1.9752,97256,1
8,2,0.7000,0,0,1.0842,90,0
9,8,0.7000,1,0,1.2095,41582796,3
10,8,0.7000,1,1,1.5498,43690278,5
11,2,0.7000,0,0,0.8560,86,8
12,5,0.7000,0,0,1.9848,18365,8
13,8,0.7000,1,1,0.8552,43068279,5
14,5,0.7000,1,1,1.4719,36804,7
15,8,0.7000,1,1,1.3531,31975042,8
16,5,0.7000,1,0,1.0705,98273,4
17,8,0.7000,1,1,2.1575,51483690,7
18,2,0.7000,1,1,0.7742,85,1
19,8,0.7000,0,1,3.0383,52931746,3
20,5,0.7000,1,1,0.8950,39251,6
21,2,0.7000,1,1,0.8082,51,4
22,5,0.7000,1,1,0.8159,40175,8
23,5,0.7000,1,1,0.9994,95240,3
24,2,0.7000,0,0,0.6758,08,8
25,2,0.7000,1,1,0.6795,28,1
26,5,0.7000,1,1,0.7321,26945,0
27,2,0.7000,0,0,0.6895,31,3
28,5,0.7000,1,1,1.0782,97320,8
29,8,0.7000,1,1,0.7091,58492160,7
30,5,0.7000,1,1,0.7306,03592,8
31,2,0.7000,1,1,0.6070,23,1
32,2,0.7000,1,1,0.7538,78,1
33,2,0.7000,0,0,0.6954,56,5
34,8,0.7000,1,1,1.6763,79485230,1
35,5,0.7000,0,0,1.2262,18675,7
36,2,0.7000,1,1,0.7006,03,8
37,5,0.7000,1,1,0.8647,09218,7
38,5,0.7000,1,1,0.7946,98203,4
39,5,0.7000,1,1,0.9617,02971,6
40,2,0.7000,1,0,0.8449,93,7
41,8,0.7000,0,0,0.8381,20369175,5
42,8,0.7000,0,0,0.6382,71489352,4
43,2,0.7000,1,1,0.6258,71,8
44,8,0.7000,1,1,0.6773,45730128,6
45,2,0.7000,1,1,0.6969,15,0
46,8,0.7000,1,1,1.6299,46352901,7
47,8,0.7000,1,1,1.1313,86531942,0
48,8,0.7000,1,0,1.3072,60158493,7
49,5,0.7000,0,0,0.7521,07268,7
50,8,0.7000,1,1,1.6867,32768541,0
51,8,0.7000,1,0,0.7737,54906871,2
52,5,0.7000,1,1,1.9645,23680,4
53,2,0.7000,1,1,0.7372,76,2
54,2,0.7000,1,1,0.7265,18,4
55,8,0.7000,0,1,1.4044,79531428,1
56,2,0.7000,0,0,1.0428,42,4
57,5,0.7000,1,1,1.1205,54028,9
58,8,0.7000,0,1,1.1368,34621908,8
59,2,0.7000,1,1,1.0564,06,3
60,5,0.7000,0,0,0.7344,01367,7
1,2,0.5000,0,0,0.8504,57,5
2,8,0.5000,1,0,0.6834,21593684,7
3,5,0.5000,1,1,0.6561,95147,2
4,8,0.5000,0,0,0.6437,79362810,7
5,5,0.5000,0,1,0.7604,92318,9
6,5,0.5000,0,1,1.2947,02137,2
7,2,0.5000,0,0,0.6744,85,5
8,2,0.5000,1,1,1.0139,80,7
9,5,0.5000,0,1,1.5224,94015,9
10,5,0.5000,1,1,0.7007,94570,8
11,2,0.5000,0,0,0.4970,20,2
12,2,0.5000,0,0,0.7683,27,7
13,2,0.5000,1,1,0.6623,52,7
14,8,0.5000,0,1,0.9383,75391428,2
15,8,0.5000,0,1,19.5100,53942708,9
16,8,0.5000,0,1,1.5655,45316907,1
17,2,0.5000,0,0,0.6959,87,8
18,2,0.5000,1,1,0.7486,64,8
19,8,0.5000,1,1,0.9945,12409537,6
20,2,0.5000,1,1,0.7984,61,7
21,2,0.5000,0,0,0.8379,49,9
22,2,0.5000,1,1,0.5740,47,2
23,8,0.5000,1,1,1.7606,28459176,3
24,5,0.5000,1,1,0.7366,57162,0
25,2,0.5000,1,1,0.6773,16,9
26,2,0.5000,0,0,0.6014,39,9
27,8,0.5000,1,0,1.1001,67142035,9
28,5,0.5000,0,0,0.6834,27986,9
29,5,0.5000,1,1,0.5905,91782,6
30,2,0.5000,0,0,0.6252,18,1
31,5,0.5000,1,1,0.7401,56237,9
32,2,0.5000,0,0,0.6173,23,2
33,2,0.5000,0,0,0.8277,43,3
34,8,0.5000,0,1,1.1404,65178349,9
35,8,0.5000,0,1,0.8533,49250673,4
36,2,0.5000,1,1,0.6697,36,1
37,8,0.5000,0,1,4.6264,79531842,3
38,8,0.5000,0,0,1.0676,65071932,3
39,5,0.5000,1,1,0.7146,67531,4
40,5,0.5000,0,0,1.3760,79530,9
41,8,0.5000,1,1,1.1268,93621708,4
42,5,0.5000,0,0,0.9508,54863,4
43,8,0.5000,0,1,1.0108,41957820,8
44,5,0.5000,1,1,0.8476,53061,8
45,8,0.5000,1,1,1.4950,50486732,1
46,8,0.5000,1,0,3.2347,50963872,4
47,8,0.5000,1,0,0.7771,92567803,4
48,5,0.5000,0,1,0.7677,34019,9
49,5,0.5000,1,1,0.7268,31972,5
50,8,0.5000,1,1,0.6528,64178932,0
