Trial, SetSize, Cond, testChange, respChange, RT, study, test
1,8,0.7000,1,1,4.0491,07639854,1
2,2,0.7000,1,1,1.3096,38,6
3,8,0.7000,1,0,3.3788,72946130,5
4,5,0.7000,1,1,1.7719,35907,2
5,2,0.7000,0,0,3.7558,17,1
6,8,0.7000,1,1,4.2565,93876204,5
7,8,0.7000,1,0,3.0733,09683152,4
8,8,0.7000,1,0,3.6671,59638017,4
9,5,0.7000,1,1,1.7169,92065,1
10,5,0.7000,1,0,2.0357,14352,7
11,8,0.7000,1,1,1.8381,04963127,5
12,5,0.7000,1,1,1.3937,71859,6
13,2,0.7000,1,1,1.7837,51,2
14,5,0.7000,1,0,1.8640,93205,7
15,2,0.7000,0,0,1.7067,53,3
16,2,0.7000,1,1,2.1842,56,9
17,2,0.7000,0,0,1.5871,41,4
18,5,0.7000,0,0,1.3908,07264,7
19,5,0.7000,1,1,2.0696,90826,5
20,5,0.7000,0,1,1.1816,82043,8
21,8,0.7000,0,1,1.2792,85174602,5
22,5,0.7000,1,1,2.1948,39754,6
23,5,0.7000,0,0,1.0198,87956,5
24,2,0.7000,1,1,2.2188,37,9
25,2,0.7000,1,1,1.7177,13,7
26,2,0.7000,1,1,1.9720,41,0
27,2,0.7000,1,1,4.2331,36,7
28,2,0.7000,1,1,1.3518,58,1
29,2,0.7000,0,0,1.8371,21,2
30,5,0.7000,1,1,1.3271,94512,8
31,5,0.7000,0,0,2.2425,43170,0
32,8,0.7000,0,0,1.9695,30425981,2
33,8,0.7000,0,0,1.5113,81456027,5
34,5,0.7000,1,1,1.6011,64951,7
35,5,0.7000,0,0,1.9809,01754,1
36,8,0.7000,0,0,2.1310,31067549,1
37,5,0.7000,1,1,1.8998,58619,0
38,8,0.7000,1,1,1.4889,89320145,6
39,2,0.7000,0,0,1.7382,50,0
40,8,0.7000,1,1,1.3061,80265413,9
41,8,0.7000,1,1,1.5347,45613907,8
42,5,0.7000,1,1,2.5854,59431,0
43,8,0.7000,0,1,1.8070,30894167,9
44,5,0.7000,1,1,1.6482,79546,0
45,8,0.7000,0,0,2.3820,04631592,0
46,2,0.7000,1,1,1.0836,57,2
47,2,0.7000,1,1,0.9877,65,8
48,2,0.7000,1,1,0.9503,86,9
49,8,0.7000,1,1,1.5713,47301965,8
50,8,0.7000,1,1,1.4230,85469372,1
51,2,0.7000,0,0,1.0456,27,2
52,2,0.7000,1,1,1.0429,80,1
53,5,0.7000,0,1,1.2165,61729,1
54,5,0.7000,1,1,2.5458,64905,1
55,8,0.7000,1,1,1.7975,43098152,6
56,2,0.7000,1,1,2.4074,85,1
57,8,0.7000,1,0,1.6728,13082764,5
58,2,0.7000,1,1,1.2377,53,2
59,5,0.7000,1,1,1.8648,19506,2
60,8,0.7000,1,1,1.8676,18436057,9
1,8,0.5000,1,1,2.2368,80573419,6
2,5,0.5000,0,1,2.5689,54630,0
3,2,0.5000,0,0,1.1655,62,2
4,8,0.5000,0,1,1.4548,26743908,9
5,8,0.5000,0,1,1.4470,32645178,4
6,5,0.5000,1,1,1.5035,78263,4
7,8,0.5000,1,1,1.1775,89650342,1
8,5,0.5000,1,1,1.3051,25683,0
9,8,0.5000,1,1,1.3756,62308579,4
10,8,0.5000,1,0,1.5903,92451306,7
11,2,0.5000,0,1,1.9690,83,3
12,2,0.5000,1,1,1.4142,73,1
13,5,0.5000,0,0,1.2133,65390,5
14,2,0.5000,0,0,1.1669,83,8
15,2,0.5000,1,1,1.1834,59,4
16,5,0.5000,0,0,1.1524,48796,7
17,8,0.5000,1,1,1.1702,89710562,3
18,2,0.5000,1,1,1.9706,80,6
19,8,0.5000,1,1,0.9505,05267194,8
20,2,0.5000,0,0,1.3475,30,0
21,5,0.5000,1,1,1.3211,19402,5
22,5,0.5000,1,1,1.0217,15079,2
23,5,0.5000,1,1,1.4510,78526,1
24,2,0.5000,0,0,1.1066,75,7
25,2,0.5000,1,1,0.8014,69,4
26,2,0.5000,1,1,1.3682,82,0
27,2,0.5000,0,0,1.0528,48,4
28,5,0.5000,1,1,1.4194,95064,3
29,2,0.5000,0,0,1.9061,56,5
30,5,0.5000,1,1,3.7026,62359,7
31,2,0.5000,1,1,0.8877,05,3
32,8,0.5000,0,1,1.2505,91048635,4
33,5,0.5000,0,1,1.1576,05938,3
34,5,0.5000,1,0,2.3104,18526,7
35,2,0.5000,1,1,0.6921,51,8
36,8,0.5000,1,1,1.0809,16873950,4
37,8,0.5000,0,1,2.9365,05834179,9
38,2,0.5000,1,1,2.2919,68,5
39,8,0.5000,1,1,1.6987,58704931,2
40,8,0.5000,0,1,1.6357,74615320,4
41,8,0.5000,0,0,2.3533,68927403,6
42,5,0.5000,1,1,1.1204,57124,8
43,5,0.5000,0,0,1.6143,47852,4
44,8,0.5000,1,1,0.9408,92587041,6
45,2,0.5000,0,0,1.1910,03,3
46,8,0.5000,0,0,2.6332,73041259,7
47,8,0.5000,0,0,2.5118,01347582,5
48,5,0.5000,0,0,0.8836,67529,6
49,8,0.5000,0,1,1.5496,70924356,9
50,5,0.5000,1,1,1.0164,06489,2
51,5,0.5000,0,1,4.7408,19746,7
52,8,0.5000,0,0,1.2827,81605347,7
53,2,0.5000,0,0,0.7420,53,5
54,5,0.5000,0,0,1.0519,15789,7
55,2,0.5000,1,1,0.8730,89,5
56,8,0.5000,1,1,1.4909,65247083,1
57,2,0.5000,0,0,1.0839,63,3
58,2,0.5000,1,1,0.8262,39,8
59,5,0.5000,0,0,1.7293,59738,7
60,5,0.5000,0,0,1.4415,70269,2
1,8,0.3000,0,1,0.7985,58304126,8
2,8,0.3000,1,1,1.6057,57608913,2
3,5,0.3000,1,1,1.3786,71863,2
4,2,0.3000,0,0,0.6801,69,9
5,8,0.3000,0,0,1.5010,72056849,9
6,2,0.3000,1,1,0.7736,30,4
7,2,0.3000,0,0,0.7002,50,5
8,2,0.3000,0,0,0.7032,41,1
9,8,0.3000,0,0,1.0781,39745260,5
10,2,0.3000,0,0,5.6840,86,8
11,5,0.3000,0,0,1.3370,92418,1
12,8,0.3000,1,0,1.1345,05187324,9
13,2,0.3000,0,0,0.6534,86,8
14,8,0.3000,0,1,1.6985,56872301,5
15,5,0.3000,0,0,1.3604,82360,3
16,2,0.3000,1,1,0.9821,09,8
17,8,0.3000,1,0,1.8433,67450892,1
18,5,0.3000,0,1,3.5096,14287,7
19,5,0.3000,0,1,1.2775,73685,6
20,5,0.3000,0,0,1.6970,85043,5
21,8,0.3000,0,1,1.9203,64589127,2
22,5,0.3000,1,1,3.8443,74631,8
23,8,0.3000,0,0,1.1782,13682490,3
24,5,0.3000,0,0,0.8911,52684,8
25,2,0.3000,0,0,0.6286,35,5
26,2,0.3000,0,0,0.7750,94,4
27,5,0.3000,0,0,1.5498,09671,7
28,5,0.3000,0,0,1.6725,59683,9
