Trial, SetSize, Cond, testChange, respChange, RT, study, test
1,2,0.7000,0,1,41.7381,17,1
2,8,0.7000,1,1,2.4582,97305468,1
3,2,0.7000,0,1,5.9318,82,2
4,5,0.7000,1,1,2.9142,10479,8
5,8,0.7000,1,1,5.0172,63751402,8
6,2,0.7000,1,1,2.6850,30,4
7,8,0.7000,1,1,2.2845,38451692,7
8,5,0.7000,1,1,1.8128,56230,7
9,8,0.7000,1,1,1.8478,03462591,8
10,2,0.7000,1,1,0.9540,49,0
11,5,0.7000,0,1,1.3515,26158,8
12,2,0.7000,1,1,0.7418,14,8
13,8,0.7000,1,1,2.2672,30784216,5
14,8,0.7000,0,1,1.1554,41859673,1
15,2,0.7000,1,1,1.3611,56,9
16,5,0.7000,0,1,1.1739,38071,0
17,5,0.7000,1,1,0.8427,71980,6
18,5,0.7000,1,1,0.7250,72603,5
19,5,0.7000,0,1,0.6758,42196,2
20,5,0.7000,1,1,0.7006,25814,6
21,5,0.7000,1,1,0.9721,82954,1
22,8,0.7000,1,1,0.7924,64251378,9
23,2,0.7000,1,1,0.5885,18,0
24,2,0.7000,0,0,0.8888,94,9
25,2,0.7000,1,1,1.4489,67,8
26,5,0.7000,1,1,1.1225,78359,0
27,8,0.7000,1,1,1.3607,47180265,3
28,2,0.7000,1,1,1.7502,64,1
29,8,0.7000,1,1,0.7318,18694723,5
30,5,0.7000,1,1,0.7061,41329,5
31,5,0.7000,0,1,0.9215,62073,2
32,8,0.7000,0,0,0.7037,48319526,5
33,8,0.7000,0,1,8.8864,53402187,8
34,8,0.7000,1,1,1.2384,38467951,2
35,8,0.7000,0,1,3.3520,90657384,6
36,5,0.7000,1,1,0.8296,47091,2
37,8,0.7000,0,1,2.9198,97542031,3
38,8,0.7000,1,1,0.6301,17309846,5
39,8,0.7000,1,1,2.2563,62198730,4
40,5,0.7000,0,1,0.6019,06147,6
41,2,0.7000,1,1,0.6220,52,7
42,5,0.7000,1,1,2.3688,87325,1
43,2,0.7000,0,0,2.4698,15,1
44,2,0.7000,1,1,0.8627,12,4
45,5,0.7000,1,0,2.7675,38712,0
46,8,0.7000,1,1,1.2998,15932687,4
47,2,0.7000,1,1,0.6281,90,8
48,2,0.7000,0,1,1.2709,82,8
49,8,0.7000,0,0,0.6551,92405713,3
50,2,0.7000,1,1,0.7846,60,7
51,8,0.7000,1,1,0.8121,95621378,0
52,5,0.7000,1,1,1.9030,15287,4
53,2,0.7000,1,1,2.6865,43,0
54,5,0.7000,0,0,4.0468,36095,5
55,5,0.7000,1,1,1.3126,65308,7
56,8,0.7000,1,1,8.8153,09784251,3
57,2,0.7000,0,0,2.5473,49,4
58,5,0.7000,1,1,1.1768,71425,6
59,2,0.7000,1,1,1.9097,57,8
60,2,0.7000,1,1,0.9173,79,6
1,2,0.3000,1,1,1.6410,59,8
2,2,0.3000,0,0,0.9792,34,3
3,8,0.3000,0,0,0.7754,81760395,3
4,5,0.3000,0,0,0.9242,37206,7
5,5,0.3000,0,1,1.5711,57864,4
6,2,0.3000,1,1,0.7360,05,8
7,8,0.3000,0,1,2.1335,03546197,1
8,5,0.3000,0,0,1.3876,29057,7
9,5,0.3000,0,1,5.4479,84329,3
10,8,0.3000,1,1,0.9617,38795412,6
11,2,0.3000,0,0,1.1032,47,4
12,8,0.3000,0,0,1.4541,62451807,4
13,8,0.3000,0,1,4.3109,79523018,5
14,2,0.3000,0,0,1.2386,79,9
15,5,0.3000,1,1,1.2729,43598,7
16,8,0.3000,0,0,2.2571,74280593,9
17,5,0.3000,1,1,4.1866,13894,7
18,5,0.3000,0,1,7.4229,30847,4
19,8,0.3000,0,1,1.1294,63052817,6
20,2,0.3000,1,1,2.0803,90,4
21,8,0.3000,1,0,1.3526,53820194,7
22,2,0.3000,0,0,1.4461,41,1
23,5,0.3000,0,0,2.5916,38605,5
24,8,0.3000,0,1,3.3792,72195064,1
25,8,0.3000,0,1,1.1036,93871526,3
26,5,0.3000,1,1,1.0792,21708,9
27,8,0.3000,0,1,1.3513,90526837,3
28,8,0.3000,0,0,1.7881,45018739,1
29,8,0.3000,1,1,3.0877,51906842,3
30,8,0.3000,0,1,0.8634,73491680,8
31,8,0.3000,1,1,9.8721,91248576,3
32,5,0.3000,0,0,0.9934,47618,1
33,2,0.3000,0,0,1.0137,90,0
34,5,0.3000,1,1,1.7125,21590,4
35,5,0.3000,0,1,1.4154,75834,3
36,2,0.3000,0,0,1.6990,73,7
37,2,0.3000,0,0,0.7551,40,4
38,5,0.3000,0,0,1.0247,16547,7
39,8,0.3000,0,0,0.9789,40238169,3
40,5,0.3000,0,0,3.1751,92374,4
41,2,0.3000,1,1,1.1560,35,6
42,2,0.3000,0,0,2.5857,31,1
43,5,0.3000,0,0,0.9099,37106,6
44,5,0.3000,0,1,1.1574,94518,8
45,2,0.3000,0,0,0.9629,04,4
46,8,0.3000,1,1,2.3838,08372954,6
47,2,0.3000,0,0,0.9727,28,2
48,2,0.3000,0,0,0.5536,50,5
49,5,0.3000,0,1,0.8631,36921,1
50,5,0.3000,1,1,0.9839,71263,9
51,2,0.3000,0,0,0.5728,52,2
52,5,0.3000,0,1,0.9536,67834,6
53,8,0.3000,0,0,3.2464,17650834,7
54,5,0.3000,1,1,0.6721,09537,6
55,2,0.3000,1,1,0.8811,16,9
56,2,0.3000,1,1,0.8658,84,6
57,2,0.3000,0,0,0.6593,68,8
58,8,0.3000,1,1,0.9962,10384927,5
59,2,0.3000,0,0,0.8964,76,7
60,8,0.3000,0,1,2.1278,74315689,9
1,8,0.5000,1,1,1.9170,45639078,2
2,2,0.5000,0,0,0.8125,87,8
3,8,0.5000,1,0,2.7353,68517320,9
4,2,0.5000,0,1,1.0936,18,1
5,2,0.5000,0,1,0.7418,52,5
6,8,0.5000,1,1,2.1553,15290843,7
7,2,0.5000,1,1,0.8409,27,1
8,8,0.5000,0,1,1.3944,97214605,4
9,2,0.5000,0,0,0.7426,51,1
10,8,0.5000,1,1,0.8682,70985213,4
11,8,0.5000,0,0,1.8043,52384907,0
12,2,0.5000,1,1,0.8719,46,2
13,2,0.5000,0,0,1.4728,02,2
14,2,0.5000,0,0,1.1216,48,8
15,8,0.5000,0,1,1.2405,26901457,1
16,8,0.5000,1,1,4.0014,15346280,9
17,5,0.5000,0,0,1.1251,96510,1
18,8,0.5000,0,1,1.0833,12570983,5
19,8,0.5000,0,0,1.3234,64059872,0
20,8,0.5000,1,0,1.4177,72340619,8
21,2,0.5000,1,1,1.0052,29,7
22,8,0.5000,0,0,1.8800,16984507,7
23,5,0.5000,1,1,1.6243,68472,0
24,2,0.5000,0,0,5.6271,68,8
25,5,0.5000,0,1,2.8376,82470,2
26,5,0.5000,1,1,2.4079,76593,2
27,2,0.5000,0,0,2.7154,83,8
28,2,0.5000,1,1,1.5471,83,9
29,5,0.5000,0,1,2.4246,01895,1
30,8,0.5000,1,1,2.4276,90362578,1
31,2,0.5000,1,1,5.4858,20,8
32,2,0.5000,0,0,2.1181,87,7
33,5,0.5000,1,1,1.3810,59206,7
34,2,0.5000,1,1,1.0419,92,3
35,5,0.5000,1,1,8.4440,04836,9
36,5,0.5000,1,1,0.9261,45780,1
37,5,0.5000,0,1,1.4049,20684,0
38,2,0.5000,0,0,0.7284,76,6
39,5,0.5000,1,1,0.9348,10263,4
40,5,0.5000,0,0,5.2927,52071,1
41,5,0.5000,1,1,0.8365,61203,9
42,5,0.5000,0,0,1.8067,64309,4
43,5,0.5000,0,0,1.2183,14528,5
44,5,0.5000,0,1,0.8452,60279,7
45,5,0.5000,0,0,2.3827,06951,0
46,8,0.5000,0,0,0.8909,28145607,1
47,5,0.5000,0,1,0.8992,36978,8
48,2,0.5000,1,1,5.5153,47,9
49,8,0.5000,1,1,1.9624,52349806,1
50,8,0.5000,0,0,1.8233,78526931,8
51,2,0.5000,1,1,2.4183,51,0
