Trial, SetSize, Cond, testChange, respChange, RT, study, test
1,5,0.7000,0,0,1.2568,40571,5
2,2,0.7000,1,1,0.9305,51,7
3,2,0.7000,1,1,1.3294,13,4
4,2,0.7000,1,1,0.7523,06,5
5,2,0.7000,1,1,0.7587,04,3
6,8,0.7000,1,0,1.0515,49580631,2
7,2,0.7000,0,0,0.7898,62,2
8,8,0.7000,1,1,1.6173,93416258,7
9,8,0.7000,1,1,0.9397,58940132,6
10,2,0.7000,1,1,0.9299,26,5
11,2,0.7000,1,1,0.6728,64,0
12,8,0.7000,1,1,1.2970,96738421,0
13,2,0.7000,1,1,0.6413,10,6
14,5,0.7000,1,1,0.8036,06745,3
15,5,0.7000,1,1,0.6711,46293,7
16,5,0.7000,0,1,0.8640,85924,4
17,8,0.7000,1,1,0.9690,51728309,4
18,5,0.7000,1,1,1.0139,30642,1
19,5,0.7000,1,1,0.8248,87462,1
20,5,0.7000,1,1,0.7157,43528,1
21,8,0.7000,1,1,1.2986,03261795,4
22,2,0.7000,1,1,1.1228,18,0
23,5,0.7000,1,1,0.6178,20951,6
24,2,0.7000,1,1,0.4934,98,6
25,8,0.7000,0,0,1.0209,87469251,8
26,8,0.7000,1,1,0.8152,03182945,7
27,8,0.7000,0,1,1.7781,28375046,5
28,2,0.7000,1,1,1.2552,80,9
29,5,0.7000,0,0,1.1527,07586,7
30,2,0.7000,0,0,0.7584,87,8
31,5,0.7000,1,1,0.8518,18957,4
32,8,0.7000,0,0,1.0767,18624579,6
33,2,0.7000,0,0,0.7817,02,2
34,8,0.7000,1,1,2.2180,12036584,7
35,8,0.7000,1,1,1.0042,34098721,6
36,8,0.7000,1,1,0.7032,69371054,2
37,5,0.7000,1,1,0.6948,53018,7
38,5,0.7000,1,1,0.6383,70934,1
39,8,0.7000,1,1,0.7439,73295018,4
40,2,0.7000,0,0,0.7741,17,7
41,2,0.7000,0,0,0.9470,79,7
42,5,0.7000,0,0,2.9687,85691,9
43,8,0.7000,0,0,1.4769,32987056,6
44,5,0.7000,0,0,1.4533,05429,9
45,8,0.7000,0,0,1.3662,17608453,5
46,5,0.7000,0,0,0.8991,35987,7
47,5,0.7000,1,1,0.7947,49873,2
48,5,0.7000,1,1,1.5024,84032,9
49,2,0.7000,1,1,1.1426,40,6
50,8,0.7000,0,1,1.1242,18072354,5
51,2,0.7000,0,0,0.7231,03,0
52,5,0.7000,1,1,1.7940,42051,7
53,2,0.7000,1,1,1.2143,63,7
54,5,0.7000,1,1,0.9773,87260,1
55,8,0.7000,1,1,0.6455,75410693,2
56,5,0.7000,1,1,0.7510,96873,2
57,2,0.7000,1,1,0.5733,83,0
58,8,0.7000,1,1,0.5935,20361587,4
59,2,0.7000,1,1,0.4377,12,5
60,8,0.7000,1,1,0.6073,27596301,8
1,5,0.3000,0,1,0.7876,01743,4
2,2,0.3000,1,1,0.7117,08,4
3,2,0.3000,1,1,0.5993,10,7
4,2,0.3000,1,1,0.6356,78,2
5,8,0.3000,0,0,1.3091,40618579,8
6,5,0.3000,1,1,1.0209,85047,6
7,5,0.3000,1,1,1.3836,30492,7
8,2,0.3000,0,0,0.9566,60,6
9,8,0.3000,1,1,1.0974,28570396,4
10,2,0.3000,0,0,1.1937,12,2
11,8,0.3000,0,0,2.0693,14389726,9
12,8,0.3000,0,0,1.4616,13847560,6
13,2,0.3000,1,1,1.0073,27,8
14,8,0.3000,0,1,1.1061,12476538,1
15,2,0.3000,0,0,1.2498,20,2
16,8,0.3000,1,1,1.4034,82596137,0
17,8,0.3000,0,0,0.8543,64298531,9
18,8,0.3000,1,1,1.6873,27506983,1
19,8,0.3000,0,0,0.9509,30249786,6
20,8,0.3000,1,1,3.2751,49351876,0
21,2,0.3000,1,0,1.0522,08,5
22,5,0.3000,0,1,1.9577,38601,3
23,8,0.3000,0,1,1.2666,21786450,2
24,2,0.3000,0,0,0.8043,49,9
25,5,0.3000,1,1,0.9680,19670,2
26,5,0.3000,0,1,2.0528,20369,9
27,8,0.3000,1,1,0.7658,21487369,0
28,2,0.3000,0,0,0.8274,24,2
29,5,0.3000,0,1,0.8456,68924,4
30,8,0.3000,0,1,0.9271,52649803,8
31,5,0.3000,0,1,1.3574,21365,1
32,2,0.3000,0,1,2.0590,09,0
33,2,0.3000,0,0,0.9166,19,1
34,5,0.3000,0,0,1.0116,94563,6
35,8,0.3000,1,1,0.9504,32480675,1
36,8,0.3000,0,0,2.7554,20459867,5
37,8,0.3000,0,0,1.9604,85469703,9
38,8,0.3000,0,1,4.3253,43512687,7
39,5,0.3000,0,1,1.4686,51290,2
40,5,0.3000,1,1,0.6775,31972,8
41,5,0.3000,0,0,1.1417,40136,3
42,5,0.3000,0,1,0.6360,35812,8
43,2,0.3000,1,1,0.5182,28,4
44,2,0.3000,0,0,1.1898,08,8
45,5,0.3000,0,0,0.7860,68427,6
46,8,0.3000,0,0,1.0776,35962087,6
47,5,0.3000,0,0,0.5819,68301,1
48,2,0.3000,0,0,0.4108,03,3
49,8,0.3000,0,0,0.7890,94653702,7
50,2,0.3000,0,0,0.4493,38,3
51,2,0.3000,0,0,0.4194,15,1
52,5,0.3000,0,0,0.4223,93508,9
53,5,0.3000,1,1,0.6092,67950,3
54,5,0.3000,0,0,0.7727,60897,7
55,2,0.3000,0,0,0.5056,02,2
56,5,0.3000,0,1,0.8332,82309,3
57,2,0.3000,0,0,0.3961,74,7
58,8,0.3000,0,1,1.4556,04357169,4
59,5,0.3000,1,0,1.4013,98162,4
60,2,0.3000,0,0,1.1256,73,3
1,5,0.5000,0,0,1.2067,97635,3
2,8,0.5000,1,1,0.8577,50913648,2
3,2,0.5000,1,1,1.0673,02,1
4,2,0.5000,1,1,1.2368,98,7
5,5,0.5000,1,1,0.6631,70645,3
6,8,0.5000,1,1,0.7520,46873925,1
7,8,0.5000,0,1,0.5804,16502798,8
8,5,0.5000,1,1,0.7285,09672,3
9,2,0.5000,0,0,0.6154,30,0
10,2,0.5000,0,0,0.3709,24,2
11,2,0.5000,0,0,0.3999,25,2
12,5,0.5000,1,0,1.4507,42869,5
13,2,0.5000,1,1,0.5883,26,3
14,2,0.5000,0,0,0.7767,93,3
15,5,0.5000,1,1,0.6688,46518,3
16,5,0.5000,1,1,0.9257,59640,1
17,2,0.5000,0,0,0.8686,56,6
18,8,0.5000,0,1,1.0609,70245638,0
19,5,0.5000,0,0,0.7337,65814,1
20,2,0.5000,0,0,0.5247,72,7
21,2,0.5000,0,0,0.4596,93,3
22,8,0.5000,1,0,1.1005,18632049,7
23,5,0.5000,0,1,0.6840,08532,2
24,8,0.5000,0,1,0.7396,48716052,8
25,8,0.5000,0,1,0.9692,41906352,4
26,5,0.5000,1,1,0.6541,84037,6
27,2,0.5000,0,0,0.4557,34,3
28,2,0.5000,1,1,0.6413,72,6
