Trial, SetSize, Cond, testChange, respChange, RT, study, test
1,8,0.5000,1,1,4.9050,59840372,1
2,8,0.5000,1,0,2.1041,18437650,2
3,5,0.5000,0,0,1.3117,56079,7
4,2,0.5000,1,1,1.8873,57,8
5,2,0.5000,1,1,2.4474,57,9
6,5,0.5000,1,1,2.2170,18495,3
7,5,0.5000,1,1,2.2280,26097,4
8,2,0.5000,0,0,1.2069,28,2
9,2,0.5000,0,0,1.0504,52,5
10,5,0.5000,1,0,1.2440,05748,2
11,2,0.5000,1,1,1.1902,09,2
12,2,0.5000,1,1,1.2504,40,3
13,2,0.5000,1,1,1.4605,69,5
14,5,0.5000,1,0,2.0455,70126,3
15,5,0.5000,0,1,2.4311,13795,5
16,8,0.5000,0,1,1.4413,47513268,4
17,8,0.5000,1,0,1.1709,17025649,3
18,5,0.5000,0,0,1.1838,52973,2
19,5,0.5000,0,0,1.0440,34698,8
20,2,0.5000,0,0,0.8862,45,5
21,8,0.5000,1,1,1.0857,27389410,6
22,8,0.5000,0,1,1.6292,57136402,1
23,5,0.5000,0,1,1.1434,60982,9
24,8,0.5000,1,1,1.2051,04139675,8
25,2,0.5000,1,1,1.2245,10,2
26,5,0.5000,1,1,3.1314,68725,0
27,2,0.5000,0,0,0.8424,06,0
28,8,0.5000,1,1,1.1959,42653709,1
29,2,0.5000,1,1,1.8081,38,4
30,8,0.5000,0,1,1.2910,80175329,5
31,5,0.5000,1,1,1.0992,17304,2
32,5,0.5000,0,0,1.1228,52069,0
33,2,0.5000,0,0,1.2096,40,4
34,8,0.5000,0,0,0.9485,84120537,8
35,8,0.5000,1,1,1.9460,24561893,7
36,5,0.5000,1,1,1.8476,45238,9
37,8,0.5000,0,1,1.3451,12793850,9
38,8,0.5000,1,1,1.4467,51924360,7
39,8,0.5000,1,1,2.0242,64805279,3
40,8,0.5000,1,1,1.3785,97420613,5
41,2,0.5000,0,0,0.9194,20,2
42,2,0.5000,0,0,1.0863,49,9
43,2,0.5000,1,1,0.8704,06,3
44,2,0.5000,1,1,1.3513,89,1
45,5,0.5000,1,1,1.2849,54219,8
46,8,0.5000,0,0,1.1564,89430561,9
47,2,0.5000,1,1,0.7939,87,1
48,5,0.5000,1,1,1.7895,48231,6
49,8,0.5000,0,1,1.3530,63251709,2
50,2,0.5000,0,0,1.3745,61,1
51,5,0.5000,1,1,0.9394,95236,7
52,8,0.5000,0,1,0.8089,26145783,5
53,5,0.5000,0,0,0.8765,97813,8
54,5,0.5000,0,0,1.9892,19380,3
55,5,0.5000,0,1,1.5296,58349,5
56,5,0.5000,0,0,1.0318,58341,1
57,8,0.5000,0,1,2.0580,03429186,1
58,8,0.5000,0,0,0.9397,96804325,6
59,2,0.5000,0,0,0.8491,87,7
60,2,0.5000,0,0,0.9153,85,5
1,5,0.3000,0,0,1.5608,36120,0
2,8,0.3000,0,0,0.9337,69724853,5
3,2,0.3000,1,1,1.0845,80,7
4,2,0.3000,0,0,1.2695,28,8
5,8,0.3000,0,0,1.2217,47315682,1
6,5,0.3000,0,0,1.9766,40876,8
7,2,0.3000,1,1,1.1495,56,2
8,5,0.3000,0,0,1.0510,61042,0
9,5,0.3000,0,0,1.1325,49325,5
10,2,0.3000,0,0,0.8114,85,5
11,5,0.3000,1,1,1.0542,74302,1
12,8,0.3000,1,1,1.1911,84396210,5
13,2,0.3000,0,0,0.8913,64,6
14,5,0.3000,0,1,1.1236,92083,8
15,8,0.3000,0,1,2.2977,87315940,7
16,8,0.3000,0,0,1.2733,37690485,3
17,8,0.3000,0,0,1.5294,01269853,6
18,8,0.3000,1,1,1.2477,01539672,8
19,5,0.3000,1,1,1.3213,01582,3
20,5,0.3000,0,0,1.1681,94753,5
21,2,0.3000,1,1,1.0937,43,9
22,8,0.3000,0,0,1.3172,65247109,9
23,2,0.3000,0,0,0.9568,82,8
24,5,0.3000,0,0,0.8902,41907,9
25,8,0.3000,0,0,1.7778,59610742,2
26,8,0.3000,0,1,1.9740,60782439,7
27,5,0.3000,0,0,1.2749,12075,5
28,5,0.3000,0,0,1.0598,20735,5
29,5,0.3000,0,1,1.6053,91652,1
30,2,0.3000,0,0,1.0330,91,1
31,2,0.3000,0,0,1.2517,13,3
32,8,0.3000,0,1,1.3725,28653097,7
33,2,0.3000,1,1,1.1614,31,5
34,5,0.3000,0,1,1.2060,43618,4
35,8,0.3000,0,0,1.0652,87049215,1
36,5,0.3000,0,0,1.0981,83601,8
37,2,0.3000,0,0,0.8023,50,0
38,8,0.3000,1,1,1.0691,59428031,6
39,2,0.3000,0,0,0.9501,04,4
40,5,0.3000,1,1,1.0915,48132,0
41,2,0.3000,1,1,1.1077,23,9
42,5,0.3000,1,0,1.2913,76103,9
43,2,0.3000,0,0,0.8835,90,0
44,8,0.3000,1,1,1.1396,90437685,2
45,8,0.3000,0,1,2.4486,13506298,9
46,8,0.3000,1,1,1.2662,45230179,6
47,8,0.3000,0,1,1.3070,24053187,3
48,2,0.3000,0,0,0.9946,96,9
49,2,0.3000,0,0,0.8868,50,0
50,5,0.3000,1,1,1.1664,81609,5
51,2,0.3000,0,0,0.9724,53,3
52,5,0.3000,0,0,0.9055,53026,2
53,8,0.3000,0,1,1.2162,28731049,8
54,8,0.3000,1,1,1.2911,90467253,8
55,2,0.3000,0,0,0.9634,49,9
56,8,0.3000,0,0,0.9123,16302594,9
57,2,0.3000,1,1,1.2398,91,5
58,5,0.3000,0,0,1.7379,50726,6
59,2,0.3000,0,0,0.8723,18,1
60,5,0.3000,1,1,1.1610,02734,9
1,8,0.7000,1,1,1.2917,71853094,6
2,5,0.7000,1,1,1.0118,26097,3
3,2,0.7000,1,1,1.2073,09,7
4,5,0.7000,1,1,0.7870,15368,7
5,8,0.7000,1,1,1.0382,14382975,0
6,2,0.7000,1,1,1.3046,04,6
7,8,0.7000,0,0,0.8715,43701896,3
8,5,0.7000,1,1,0.7523,80719,2
9,5,0.7000,0,1,0.9977,82741,4
