Trial, SetSize, Cond, testChange, respChange, RT, study, test
1,2,0.3000,0,0,2.2244,61,1
2,5,0.3000,0,0,1.5953,94021,2
3,2,0.3000,0,0,0.7836,20,2
4,8,0.3000,0,1,0.7717,91307645,5
5,5,0.3000,0,1,1.2086,08974,4
6,8,0.3000,1,1,1.5634,27946053,1
7,5,0.3000,0,1,0.8884,60874,4
8,8,0.3000,0,0,1.1279,21453980,3
9,8,0.3000,0,0,0.7421,98723061,3
10,2,0.3000,0,0,0.5403,24,2
11,8,0.3000,1,1,0.7377,27016394,5
12,5,0.3000,1,1,0.8240,24916,0
13,2,0.3000,0,0,0.9867,71,7
14,8,0.3000,0,0,1.0464,01548673,3
15,2,0.3000,0,0,0.5206,30,3
16,5,0.3000,0,0,0.7834,08173,0
17,5,0.3000,0,0,0.7876,37694,6
18,5,0.3000,0,0,0.6477,96178,7
19,2,0.3000,1,1,0.7698,52,6
20,8,0.3000,0,0,0.5421,35426890,2
21,5,0.3000,0,0,0.6523,09314,4
22,5,0.3000,1,0,0.6938,82905,7
23,8,0.3000,1,0,0.8613,24319856,7
24,2,0.3000,0,0,0.6308,63,6
25,2,0.3000,1,1,0.5777,25,8
26,5,0.3000,0,1,1.0139,94536,4
27,5,0.3000,1,1,0.7288,46025,3
28,2,0.3000,0,0,0.5916,76,6
29,5,0.3000,0,0,0.7397,81042,1
30,5,0.3000,0,1,0.7380,38042,4
31,2,0.3000,0,0,0.5442,08,0
32,2,0.3000,1,1,0.6623,12,7
33,2,0.3000,1,1,1.0798,40,6
34,8,0.3000,0,1,0.9600,17643052,4
35,8,0.3000,0,1,1.1329,06132549,9
36,8,0.3000,0,1,0.9311,01894736,3
37,8,0.3000,0,0,1.4013,25031768,1
38,2,0.3000,0,0,1.3815,26,6
39,8,0.3000,1,1,0.7377,89745613,2
40,8,0.3000,0,0,0.9911,91054627,7
41,2,0.3000,0,0,0.5394,20,2
42,8,0.3000,0,0,0.8729,86473912,8
43,5,0.3000,0,0,0.6418,82410,8
44,2,0.3000,0,0,0.5319,25,5
45,5,0.3000,0,0,0.4982,04712,2
46,8,0.3000,0,0,0.4417,36187294,1
47,2,0.3000,0,0,1.2758,27,7
48,8,0.3000,1,1,0.6841,58701296,4
49,5,0.3000,1,1,0.7802,38540,7
50,5,0.3000,1,1,0.8164,82453,0
51,2,0.3000,0,0,0.4599,61,6
52,8,0.3000,0,1,0.8203,87456039,5
53,8,0.3000,1,1,0.9270,15406297,3
54,5,0.3000,1,1,0.7019,52931,8
55,2,0.3000,1,1,0.7660,71,2
56,5,0.3000,0,1,0.8189,90743,0
57,5,0.3000,0,0,0.9577,29317,3
58,2,0.3000,1,1,0.7312,53,1
59,2,0.3000,0,0,0.5461,24,4
60,8,0.3000,0,0,1.6396,37084592,4
1,8,0.5000,0,1,1.3458,87192546,4
2,5,0.5000,0,0,1.0713,29753,3
3,8,0.5000,1,1,0.5355,01398625,4
4,2,0.5000,1,1,0.4943,14,7
5,8,0.5000,1,1,0.8379,20651847,9
6,5,0.5000,1,1,0.5200,17209,6
7,8,0.5000,0,0,0.7662,21378059,3
8,5,0.5000,0,0,1.0191,07386,7
9,8,0.5000,1,0,1.3653,56810947,3
10,2,0.5000,0,0,0.6188,37,7
11,2,0.5000,0,0,0.7983,21,1
12,5,0.5000,1,1,0.7859,03467,9
13,8,0.5000,1,1,0.4854,38465021,9
14,2,0.5000,0,0,0.4302,67,6
15,5,0.5000,0,0,0.6644,80419,9
16,2,0.5000,0,0,0.5779,59,9
17,2,0.5000,0,0,0.8947,94,4
18,8,0.5000,1,1,0.6224,19036542,8
19,2,0.5000,1,1,0.5851,29,1
20,8,0.5000,1,1,1.0526,70825694,1
21,2,0.5000,1,1,0.7982,71,9
22,8,0.5000,1,1,0.9216,71340869,5
23,5,0.5000,0,0,0.6806,25094,2
24,2,0.5000,1,1,0.6174,46,1
25,5,0.5000,1,1,0.5802,63749,0
26,2,0.5000,0,1,0.7131,34,4
27,5,0.5000,0,1,1.7119,41863,1
28,5,0.5000,1,1,0.8468,39104,5
