Trial, SetSize, Cond, testChange, respChange, RT, study, test
1,2,0.7000,1,1,1.9192,52,3
2,2,0.7000,1,1,1.0702,47,2
3,5,0.7000,1,1,3.6469,89405,1
4,5,0.7000,0,0,1.2568,51694,1
5,8,0.7000,1,1,0.8818,67931845,2
6,2,0.7000,1,1,1.0906,92,3
7,8,0.7000,1,1,2.6582,12375689,4
8,5,0.7000,1,1,0.8440,37156,4
9,8,0.7000,1,1,0.7655,10324597,8
10,2,0.7000,0,0,1.2111,05,0
11,2,0.7000,1,1,0.5907,61,3
12,8,0.7000,1,1,0.8343,59840763,2
13,5,0.7000,1,1,0.6925,56038,4
14,8,0.7000,1,1,0.6361,79034512,8
15,2,0.7000,1,1,0.6544,59,3
16,8,0.7000,0,0,0.9113,29048371,8
17,2,0.7000,1,1,0.7589,36,0
18,8,0.7000,0,1,0.9078,08273496,2
19,8,0.7000,0,0,0.6987,08312975,2
20,8,0.7000,1,1,1.2183,95217483,6
21,5,0.7000,0,0,0.8851,62153,6
22,2,0.7000,1,1,0.9740,74,8
23,5,0.7000,1,1,1.4271,42031,8
24,8,0.7000,0,0,0.8693,07624985,6
25,2,0.7000,1,1,0.8462,85,0
26,8,0.7000,1,1,1.1198,10296758,4
27,5,0.7000,1,1,0.7508,49071,8
28,2,0.7000,1,1,3.4530,76,9
29,2,0.7000,0,0,0.6707,38,3
30,5,0.7000,0,1,0.5757,17469,4
31,5,0.7000,0,0,0.8525,45236,2
32,8,0.7000,0,0,0.6775,04987235,7
33,2,0.7000,0,0,0.7184,80,8
34,8,0.7000,1,0,0.8606,42876130,9
35,2,0.7000,1,1,0.5742,82,4
36,5,0.7000,1,1,0.6031,91532,8
37,5,0.7000,0,1,3.7986,70382,3
38,2,0.7000,1,1,0.9231,26,7
39,2,0.7000,1,1,1.2420,15,3
40,2,0.7000,1,1,0.9243,36,9
41,2,0.7000,0,0,0.6752,29,9
42,5,0.7000,1,1,0.9161,24516,7
43,8,0.7000,1,1,0.8991,23954016,8
44,8,0.7000,1,1,0.7946,92436501,7
45,5,0.7000,0,0,0.8302,39521,3
46,8,0.7000,1,1,0.8883,87394261,0
47,5,0.7000,1,1,0.8247,02156,8
48,8,0.7000,1,1,1.0429,87360149,2
49,5,0.7000,1,1,0.6605,48751,0
50,2,0.7000,0,1,1.4861,85,8
51,8,0.7000,1,0,1.0377,32895160,7
52,5,0.7000,1,1,1.8640,78390,1
53,5,0.7000,1,1,1.6249,82564,0
54,5,0.7000,1,1,0.7398,94718,3
55,5,0.7000,1,0,0.8502,36810,7
56,2,0.7000,0,0,0.5084,70,7
57,2,0.7000,1,1,0.6039,91,6
