Trial, SetSize, Cond, testChange, respChange, RT, study, test
1,5,0.5000,1,1,1.0097,25804,7
2,2,0.5000,1,1,1.8852,37,6
3,5,0.5000,0,0,1.5416,81249,2
4,5,0.5000,0,0,1.7640,58361,8
5,8,0.5000,0,0,1.5369,70423651,4
6,2,0.5000,1,1,0.6152,17,5
7,8,0.5000,1,1,1.0661,12903674,5
8,5,0.5000,0,0,1.1951,58097,5
9,8,0.5000,1,0,1.1826,69283715,0
10,8,0.5000,1,1,0.8269,18042569,7
11,8,0.5000,0,1,1.5251,80321795,3
12,5,0.5000,0,0,0.9321,75946,5
13,5,0.5000,1,1,0.8343,04938,6
14,5,0.5000,0,0,0.8046,63278,6
15,2,0.5000,0,0,0.8881,07,0
16,8,0.5000,0,1,1.1518,41723596,9
17,5,0.5000,1,1,0.9973,85302,9
18,5,0.5000,0,0,1.6569,43057,7
19,8,0.5000,0,0,0.9219,75034198,0
20,8,0.5000,0,1,0.7761,51830762,7
21,5,0.5000,1,1,1.2130,86357,2
22,8,0.5000,0,0,1.2239,18279436,7
23,2,0.5000,1,1,0.6268,14,5
24,2,0.5000,0,0,0.7898,76,6
25,5,0.5000,0,0,0.6581,51684,5
26,8,0.5000,1,1,0.8510,96730452,8
27,5,0.5000,1,1,0.8366,75830,4
28,5,0.5000,1,1,0.6708,84157,0
29,8,0.5000,1,1,0.9190,54132860,9
30,2,0.5000,0,0,0.9106,48,8
31,2,0.5000,1,1,1.3022,18,7
32,2,0.5000,1,1,0.5184,13,2
33,5,0.5000,1,1,1.0613,54837,0
34,2,0.5000,0,0,0.5190,50,5
35,2,0.5000,1,1,0.8459,41,9
36,2,0.5000,0,0,2.5361,86,8
37,2,0.5000,0,0,1.3024,57,7
38,8,0.5000,0,1,0.6534,35247016,3
39,5,0.5000,1,1,0.7989,30679,5
40,2,0.5000,1,1,1.2752,60,4
41,2,0.5000,0,0,0.7721,62,2
42,5,0.5000,0,0,0.7610,80671,8
43,5,0.5000,0,0,0.6380,95432,5
44,5,0.5000,0,0,0.6562,36470,6
45,2,0.5000,1,1,0.4098,36,8
46,8,0.5000,0,1,1.2206,27150839,3
47,5,0.5000,1,1,0.5436,10457,2
48,5,0.5000,1,1,0.7252,48209,5
49,8,0.5000,0,1,1.5554,84615097,8
50,2,0.5000,1,1,1.4969,85,0
51,8,0.5000,1,1,1.6726,43210687,9
52,2,0.5000,0,0,1.5856,02,0
53,8,0.5000,1,1,0.6532,68075249,3
54,8,0.5000,1,1,0.9181,37691854,0
55,8,0.5000,1,1,0.8684,81635702,9
56,2,0.5000,0,0,0.4299,92,9
57,2,0.5000,1,1,0.5688,34,1
