Trial, SetSize, Cond, testChange, respChange, RT, study, test
1,8,0.3000,1,0,27.0329,71362984,70362984
2,8,0.3000,0,0,0.9481,06539187,06539187
3,8,0.3000,0,0,3.1582,57021936,57021936
4,8,0.3000,1,1,2.6163,93510862,93514862
5,5,0.3000,0,0,1.6235,02385,02385
6,5,0.3000,0,0,1.3555,50761,50761
7,2,0.3000,1,1,1.4488,92,42
8,8,0.3000,0,0,2.3087,46572089,46572089
9,8,0.3000,0,0,6.6546,31768924,31768924
10,5,0.3000,0,0,1.4380,81579,81579
11,5,0.3000,0,0,1.8641,30182,30182
12,5,0.3000,0,0,1.0361,46290,46290
13,2,0.3000,0,0,0.6574,57,57
14,5,0.3000,0,0,0.8084,26731,26731
15,8,0.3000,0,1,1.4153,29146057,29146057
16,2,0.3000,1,1,1.7535,76,16
17,5,0.3000,0,0,0.9225,52348,52348
18,2,0.3000,0,0,0.4778,05,05
19,2,0.3000,0,0,0.4339,36,36
20,2,0.3000,0,0,0.5699,71,71
21,5,0.3000,0,0,1.1128,67031,67031
22,5,0.3000,0,0,0.9949,30456,30456
23,5,0.3000,0,0,1.1110,65391,65391
24,2,0.3000,0,0,0.7622,05,05
25,8,0.3000,1,1,0.9301,50642987,50342987
26,8,0.3000,1,1,0.8502,67531249,67530249
27,2,0.3000,1,1,1.1803,17,87
28,8,0.3000,0,1,0.8321,13897054,13897054
29,2,0.3000,0,0,0.3565,17,17
30,5,0.3000,0,0,0.8794,15638,15638
31,5,0.3000,1,0,0.8875,45903,45908
32,8,0.3000,1,0,0.9105,58260917,58240917
33,2,0.3000,0,0,0.5568,68,68
34,8,0.3000,0,0,0.7646,94756830,94756830
35,2,0.3000,0,0,0.5369,06,06
36,2,0.3000,1,1,0.7290,06,02
37,5,0.3000,0,1,1.3279,26497,26497
38,8,0.3000,1,0,1.1429,87324061,87924061
39,8,0.3000,0,1,1.5549,79143256,79143256
40,2,0.3000,1,1,1.1133,75,74
41,8,0.3000,0,1,1.1552,98510376,98510376
42,2,0.3000,1,1,1.1854,85,86
43,2,0.3000,0,0,1.1755,43,43
44,5,0.3000,1,1,2.1165,96315,26315
45,8,0.3000,0,1,3.0854,70654821,70654821
46,5,0.3000,1,1,1.2127,95071,25071
47,2,0.3000,0,0,0.6859,80,80
48,5,0.3000,1,0,0.8208,71305,91305
49,8,0.3000,0,1,0.8577,71830569,71830569
50,2,0.3000,0,0,0.9221,58,58
51,2,0.3000,0,0,0.5481,48,48
52,5,0.3000,1,1,1.3830,12970,15970
53,2,0.3000,0,0,1.0782,03,03
54,8,0.3000,0,0,1.0862,71428095,71428095
55,5,0.3000,1,0,0.9433,70692,70592
56,8,0.3000,0,0,0.8903,08732915,08732915
57,5,0.3000,0,0,0.6034,62083,62083
58,8,0.3000,0,0,0.6484,65091347,65091347
59,5,0.3000,0,0,0.8896,49517,49517
60,2,0.3000,0,0,0.7307,79,79
1,5,0.5000,0,0,1.4975,82476,82476
2,2,0.5000,0,0,0.7929,96,96
3,2,0.5000,0,0,0.9889,24,24
4,5,0.5000,0,0,0.7499,96245,96245
5,2,0.5000,1,1,0.9470,20,80
6,2,0.5000,1,1,0.6711,81,80
7,8,0.5000,0,0,0.7850,89415037,89415037
8,5,0.5000,0,0,1.0402,96785,96785
9,8,0.5000,0,0,0.8211,30597486,30597486
10,2,0.5000,1,1,0.6934,30,50
11,5,0.5000,1,1,1.2842,28563,20563
12,8,0.5000,1,1,0.5453,81970425,61970425
13,2,0.5000,1,1,0.7136,25,24
14,5,0.5000,0,0,0.8105,04179,04179
15,8,0.5000,0,0,0.8335,84625917,84625917
16,2,0.5000,0,0,0.6058,80,80
17,5,0.5000,1,0,0.7107,32057,32157
18,8,0.5000,1,1,0.9617,61509428,67509428
19,5,0.5000,1,1,1.0509,36507,36807
20,2,0.5000,1,1,0.8260,89,19
21,5,0.5000,1,1,5.0372,93507,93207
22,5,0.5000,1,1,1.1971,61892,71892
23,2,0.5000,1,1,2.2182,98,68
24,2,0.5000,1,1,0.5464,61,21
25,8,0.5000,0,0,0.8522,67902813,67902813
26,5,0.5000,1,1,0.8534,60381,60371
27,8,0.5000,1,0,0.7883,57210348,57210368
28,8,0.5000,1,0,0.8724,86541293,86547293
29,2,0.5000,1,1,0.9347,51,56
30,8,0.5000,1,1,1.6746,04152873,04159873
31,8,0.5000,0,1,1.1146,32978145,32978145
32,5,0.5000,0,0,2.6637,29310,29310
33,2,0.5000,0,0,1.9270,51,51
34,2,0.5000,1,1,1.2571,40,50
35,8,0.5000,0,0,1.4689,58720194,58720194
36,8,0.5000,1,1,1.2011,21850673,91850673
37,8,0.5000,1,1,2.2911,27630518,24630518
38,5,0.5000,0,0,3.4282,94261,94261
39,5,0.5000,1,1,2.7203,10968,10938
40,8,0.5000,0,0,1.6233,27519348,27519348
41,5,0.5000,0,1,4.4224,35672,35672
42,2,0.5000,0,0,2.8458,25,25
43,2,0.5000,1,1,3.9678,10,60
44,2,0.5000,0,0,1.3780,87,87
45,5,0.5000,1,1,1.1110,83409,83419
46,2,0.5000,0,0,1.0522,18,18
47,2,0.5000,0,0,0.9882,92,92
48,5,0.5000,0,0,1.0791,25314,25314
49,5,0.5000,0,0,1.5292,24359,24359
50,2,0.5000,0,0,1.0745,29,29
51,8,0.5000,1,1,1.4823,61857903,61847903
52,2,0.5000,0,0,1.2786,89,89
53,5,0.5000,1,1,1.0055,05274,05278
54,8,0.5000,0,0,1.2525,19056827,19056827
55,8,0.5000,0,0,1.4245,24803975,24803975
56,5,0.5000,0,0,1.2317,98037,98037
57,8,0.5000,1,0,1.4408,08126543,08127543
58,8,0.5000,0,0,1.2988,28403175,28403175
59,8,0.5000,1,0,1.6709,56470129,56470128
60,5,0.5000,1,1,1.1401,96831,26831
1,8,0.7000,0,0,1.8491,81629075,81629075
2,8,0.7000,1,1,0.7053,34870962,34870961
3,5,0.7000,0,0,0.7444,03162,03162
4,2,0.7000,1,1,0.7036,54,58
5,8,0.7000,1,1,0.6035,78904561,78924561
6,8,0.7000,1,0,0.7875,78512694,70512694
7,2,0.7000,0,0,2.5378,67,67
8,2,0.7000,0,0,1.1038,03,03
9,5,0.7000,1,0,0.8288,80462,80492
10,8,0.7000,1,1,0.5658,91487026,91487326
11,2,0.7000,1,1,0.8580,84,34
12,2,0.7000,1,1,0.6161,90,92
13,8,0.7000,1,1,1.0837,24850637,21850637
14,5,0.7000,0,0,0.6632,53281,53281
15,5,0.7000,0,0,1.1172,46389,46389
16,8,0.7000,1,0,1.3981,38956741,38956241
17,8,0.7000,1,0,1.0381,27350694,27350691
18,8,0.7000,1,1,0.5442,04296318,05296318
19,8,0.7000,1,0,0.7064,70632158,70642158
20,5,0.7000,1,1,0.6295,56384,56324
21,2,0.7000,0,1,0.6767,94,94
22,2,0.7000,1,1,0.8547,03,08
23,8,0.7000,0,0,0.9705,05169473,05169473
24,8,0.7000,0,0,1.4006,62971045,62971045
25,2,0.7000,0,0,1.0608,42,42
26,8,0.7000,0,1,0.6328,57329048,57329048
27,5,0.7000,0,0,0.8940,91873,91873
28,8,0.7000,1,0,0.7049,64723501,64723901
29,2,0.7000,1,1,0.4472,06,07
30,5,0.7000,1,1,0.7182,51698,21698
31,2,0.7000,1,1,0.7213,09,59
32,8,0.7000,1,0,1.2250,57694830,57694130
33,2,0.7000,1,1,0.9374,15,17
34,5,0.7000,1,1,1.0564,90475,90472
35,2,0.7000,1,1,0.7916,09,39
36,8,0.7000,1,1,0.6015,94721853,94761853
37,2,0.7000,1,1,0.6757,72,12
38,5,0.7000,1,1,0.5026,36097,36098
39,5,0.7000,1,0,0.6287,49523,49123
40,5,0.7000,0,0,0.5828,29304,29304
41,2,0.7000,1,1,0.5419,45,49
42,2,0.7000,0,1,1.1639,01,01
43,2,0.7000,1,1,0.9721,67,07
44,2,0.7000,1,1,0.8041,30,70
45,2,0.7000,0,1,0.4842,26,26
46,5,0.7000,1,1,0.8131,65072,65472
47,8,0.7000,1,0,0.5862,35018627,35418627
48,5,0.7000,0,0,1.4953,14267,14267
49,2,0.7000,1,1,0.8245,23,26
50,5,0.7000,1,1,1.2294,93674,93671
51,8,0.7000,1,1,0.6704,64308795,64328795
52,5,0.7000,1,0,0.9136,06453,06473
53,2,0.7000,1,1,0.6368,57,54
54,5,0.7000,1,1,0.7817,54712,53712
55,8,0.7000,0,0,0.7787,27130546,27130546
56,5,0.7000,1,1,1.2418,24638,24608
57,5,0.7000,1,1,0.8118,31946,31948
58,5,0.7000,1,1,0.8259,29180,29187
59,8,0.7000,0,1,1.2049,68102439,68102439
60,5,0.7000,1,1,0.8461,10627,10687
1,2,0.7000,0,0,0.9315,23,23
2,2,0.7000,1,1,0.6495,64,65
3,2,0.7000,0,1,0.5956,65,65
4,2,0.7000,1,1,0.8557,47,97
5,8,0.7000,0,0,1.7475,06231879,06231879
6,8,0.7000,1,1,0.5436,78641320,78651320
7,8,0.7000,1,0,1.3877,17423805,17423605
8,5,0.7000,1,1,0.5668,56210,59210
9,8,0.7000,0,0,0.7798,58243709,58243709
10,2,0.7000,0,0,1.0040,19,19
11,5,0.7000,0,1,0.9230,84963,84963
12,2,0.7000,0,0,1.0462,43,43
13,8,0.7000,0,1,1.0120,06732415,06732415
14,5,0.7000,1,1,0.8772,08321,08421
15,5,0.7000,1,1,0.9592,06513,96513
16,2,0.7000,1,1,0.8205,70,79
17,8,0.7000,1,1,0.4803,97436185,97036185
18,2,0.7000,1,1,0.5325,86,85
19,5,0.7000,1,1,0.4994,28690,28693
20,2,0.7000,0,0,0.7066,27,27
21,2,0.7000,1,1,0.7767,86,85
22,8,0.7000,1,1,0.6765,78309214,78305214
23,8,0.7000,1,1,0.9507,02678159,02678139
24,5,0.7000,0,0,0.6838,36128,36128
25,5,0.7000,1,1,0.8758,32680,32690
26,8,0.7000,1,0,1.1007,04258793,06258793
27,5,0.7000,0,0,0.6500,06173,06173
28,2,0.7000,1,1,0.5872,81,91
29,8,0.7000,0,1,1.4370,98765420,98765420
30,2,0.7000,1,1,0.7153,26,76
31,5,0.7000,1,1,0.7823,20936,40936
32,8,0.7000,0,0,0.4973,74812359,74812359
33,8,0.7000,1,1,0.5833,38741526,30741526
34,5,0.7000,1,1,0.5505,01496,01596
35,2,0.7000,1,1,0.6436,18,58
36,5,0.7000,1,1,0.4286,12780,19780
37,2,0.7000,1,1,0.5877,96,06
38,5,0.7000,1,1,1.2226,76501,36501
39,5,0.7000,1,0,0.8528,97842,57842
40,5,0.7000,0,0,0.9728,08396,08396
41,8,0.7000,0,0,1.2597,52048367,52048367
42,2,0.7000,1,1,0.6681,50,58
43,2,0.7000,1,1,1.0001,21,41
44,5,0.7000,1,1,2.2971,39480,32480
45,5,0.7000,0,0,0.8851,61984,61984
46,2,0.7000,1,1,0.8483,52,53
47,5,0.7000,0,0,1.0852,02418,02418
48,8,0.7000,1,0,0.6682,96253084,96253014
49,8,0.7000,1,0,1.8723,40813792,40815792
50,8,0.7000,1,0,1.0424,62894701,62894705
51,2,0.7000,0,0,0.8226,82,82
52,5,0.7000,1,1,0.2736,59607,59627
53,2,0.7000,1,1,0.8308,10,20
54,8,0.7000,1,0,0.7106,70398624,70318624
55,5,0.7000,1,1,0.6018,28349,28379
56,5,0.7000,1,0,1.1558,06184,06189
57,8,0.7000,1,0,0.8108,53492680,53492670
58,2,0.7000,1,1,0.5971,48,28
59,8,0.7000,1,0,1.4769,19856027,19853027
60,8,0.7000,1,0,1.4869,15402893,65402893
1,8,0.3000,0,0,1.2413,82906315,82906315
2,2,0.3000,0,0,2.0933,14,14
3,5,0.3000,1,1,0.9465,41592,40592
4,5,0.3000,0,1,0.6086,41056,41056
5,5,0.3000,0,0,0.5187,17084,17084
6,5,0.3000,0,0,0.9667,05928,05928
7,2,0.3000,1,1,0.4719,62,60
8,2,0.3000,0,1,1.0120,94,94
9,8,0.3000,0,0,1.0397,30421756,30421756
10,8,0.3000,1,0,0.6178,13056279,13054279
11,2,0.3000,0,0,0.4920,38,38
12,2,0.3000,0,0,0.6242,75,75
13,2,0.3000,1,1,1.0462,89,69
14,8,0.3000,0,1,1.1221,93865271,93865271
15,2,0.3000,1,1,1.0924,41,91
16,2,0.3000,0,0,1.1084,69,69
17,8,0.3000,1,0,1.3323,98601235,98601275
18,5,0.3000,1,1,1.2694,81579,41579
19,5,0.3000,0,0,0.5996,18456,18456
20,2,0.3000,0,0,2.0527,65,65
21,5,0.3000,0,0,0.5777,09572,09572
22,8,0.3000,0,0,0.6846,31458067,31458067
23,8,0.3000,0,0,0.8987,53897264,53897264
24,2,0.3000,0,0,0.4510,13,13
25,8,0.3000,0,0,0.7268,52413907,52413907
26,8,0.3000,0,0,0.8549,84215963,84215963
27,8,0.3000,0,0,0.6988,35160872,35160872
28,8,0.3000,1,0,0.4409,85136024,85137024
29,2,0.3000,1,1,0.9412,06,26
30,5,0.3000,0,1,1.2342,18759,18759
31,5,0.3000,1,0,0.7023,20593,28593
32,2,0.3000,0,0,0.4995,38,38
33,8,0.3000,1,0,0.7833,84275103,84275109
34,5,0.3000,1,1,1.1324,20953,80953
35,5,0.3000,0,0,0.8425,47519,47519
36,5,0.3000,0,0,0.6446,43582,43582
37,2,0.3000,0,0,0.3898,43,43
38,2,0.3000,0,0,0.4198,38,38
39,5,0.3000,0,0,0.6168,43076,43076
40,8,0.3000,0,0,0.6598,43258961,43258961
41,8,0.3000,0,0,0.4498,15243709,15243709
42,5,0.3000,0,0,0.8410,50129,50129
43,8,0.3000,0,0,0.6979,59180732,59180732
44,5,0.3000,0,0,0.4711,53916,53916
45,8,0.3000,0,0,0.6261,09678412,09678412
46,2,0.3000,1,1,0.7603,59,39
47,2,0.3000,1,1,0.8823,63,65
48,2,0.3000,0,0,0.4364,30,30
49,5,0.3000,1,0,1.1834,38497,08497
50,5,0.3000,0,1,0.8695,38970,38970
51,8,0.3000,0,0,0.8563,91547206,91547206
52,2,0.3000,0,0,0.8347,03,03
53,2,0.3000,0,0,0.4308,62,62
54,5,0.3000,1,1,1.2257,92604,92614
55,5,0.3000,0,0,1.8478,39407,39407
56,5,0.3000,0,1,1.4718,34025,34025
57,8,0.3000,0,1,1.2108,76038549,76038549
58,8,0.3000,1,0,1.4569,60958123,60978123
59,8,0.3000,1,1,2.9189,13257609,83257609
60,2,0.3000,0,0,0.5713,96,96
1,2,0.5000,0,0,1.2053,82,82
2,2,0.5000,1,1,0.4794,73,72
3,5,0.5000,0,0,0.6223,76130,76130
4,8,0.5000,1,0,0.8593,01349852,61349852
5,5,0.5000,0,1,0.6184,74296,74296
6,8,0.5000,0,0,0.7495,73891065,73891065
7,2,0.5000,0,0,0.5397,90,90
8,2,0.5000,0,0,0.4358,20,20
9,8,0.5000,1,0,0.9316,51386207,51486207
10,2,0.5000,1,1,1.2939,35,34
11,5,0.5000,1,1,0.7809,17645,17245
12,2,0.5000,1,1,0.6120,83,84
13,5,0.5000,1,1,0.7789,07931,07935
14,2,0.5000,1,1,0.8361,84,81
15,5,0.5000,0,0,0.8791,14065,14065
16,2,0.5000,1,1,1.7803,51,91
17,2,0.5000,1,1,0.7064,10,16
18,5,0.5000,0,1,1.2473,30756,30756
19,8,0.5000,0,0,1.2920,81203749,81203749
20,2,0.5000,0,0,2.9985,92,92
21,8,0.5000,1,1,0.9405,83021679,84021679
22,2,0.5000,0,0,0.8208,76,76
23,8,0.5000,0,0,1.5186,27403596,27403596
24,8,0.5000,1,1,0.8566,74520193,74620193
25,8,0.5000,0,1,1.3727,14807269,14807269
26,2,0.5000,0,0,1.4390,01,01
27,5,0.5000,1,1,0.7259,72496,73496
28,8,0.5000,1,1,1.0529,89357406,89257406
29,8,0.5000,1,1,0.6589,37689012,37689015
30,8,0.5000,0,1,0.6570,82709416,82709416
31,5,0.5000,0,0,0.5522,15792,15792
32,5,0.5000,1,0,0.8443,32459,32457
33,8,0.5000,0,1,0.7852,20671534,20671534
34,8,0.5000,0,1,1.2693,75309214,75309214
35,5,0.5000,1,0,1.0804,63892,63842
36,5,0.5000,1,1,0.9925,87562,81562
37,5,0.5000,1,1,0.8426,91074,91072
38,8,0.5000,1,0,1.6755,37684902,37684502
39,2,0.5000,0,0,1.2718,53,53
40,5,0.5000,0,0,1.0267,70945,70945
41,5,0.5000,1,1,0.8948,43069,42069
42,5,0.5000,1,1,1.3189,23968,03968
43,2,0.5000,1,1,0.6041,07,17
44,5,0.5000,0,0,2.1730,83659,83659
45,2,0.5000,1,1,0.9562,93,94
46,5,0.5000,0,0,1.4312,12758,12758
47,2,0.5000,0,0,2.8583,45,45
48,8,0.5000,1,0,0.8462,85741092,35741092
49,8,0.5000,1,1,1.2602,93501647,93502647
50,5,0.5000,1,1,0.9154,14973,14976
51,5,0.5000,0,0,0.6235,46932,46932
52,8,0.5000,0,0,0.9785,46197350,46197350
53,2,0.5000,1,1,1.6828,94,24
54,8,0.5000,0,0,0.7306,26145708,26145708
55,2,0.5000,0,0,0.4850,84,84
56,8,0.5000,0,0,0.8727,18097563,18097563
57,5,0.5000,0,0,0.9799,89326,89326
58,2,0.5000,1,1,0.5451,02,52
59,8,0.5000,1,0,1.4268,65127830,65127430
60,2,0.5000,0,0,0.9392,06,06
1,5,0.3000,0,0,1.7523,84170,84170
2,2,0.3000,1,1,0.7395,35,65
3,8,0.3000,0,0,1.1592,30672854,30672854
4,8,0.3000,0,0,0.7914,16579284,16579284
