Trial, SetSize, Cond, testChange, respChange, RT, study, test
1,5,0.5000,0,1,3.1667,90365,90365
2,2,0.5000,0,0,3.3039,27,27
3,2,0.5000,0,0,2.4782,65,65
4,2,0.5000,0,0,1.8103,71,71
5,5,0.5000,1,1,1.2653,57803,52803
6,2,0.5000,0,0,1.2245,67,67
7,8,0.5000,0,1,1.3485,54326781,54326781
8,5,0.5000,1,1,3.9776,32457,36457
9,2,0.5000,1,1,2.8349,14,17
10,5,0.5000,1,1,2.9900,86752,86759
11,5,0.5000,0,1,6.9621,36475,36475
12,2,0.5000,0,0,6.6853,95,95
13,2,0.5000,0,0,1.7098,69,69
14,8,0.5000,1,1,1.8317,36894075,26894075
15,5,0.5000,1,1,2.0509,26084,26034
16,2,0.5000,0,0,3.2361,58,58
17,2,0.5000,1,1,1.5684,97,92
18,8,0.5000,1,1,2.4123,96475012,96475082
19,8,0.5000,1,1,3.7044,16842907,36842907
20,2,0.5000,1,1,2.5848,31,37
21,5,0.5000,1,1,3.3658,32514,82514
22,8,0.5000,1,1,2.3309,96530128,96530428
23,5,0.5000,0,0,2.0981,78610,78610
24,5,0.5000,1,1,4.1823,80729,80429
25,5,0.5000,0,0,2.1325,06214,06214
26,2,0.5000,0,0,1.6938,05,05
27,8,0.5000,0,0,5.4656,56042793,56042793
28,2,0.5000,1,1,3.0741,76,78
29,8,0.5000,0,0,2.8681,38206791,38206791
30,5,0.5000,0,0,2.2793,74013,74013
31,2,0.5000,1,1,2.2845,47,97
32,2,0.5000,1,1,2.2787,86,26
33,5,0.5000,0,1,2.3598,72960,72960
34,2,0.5000,1,1,2.8350,92,93
35,8,0.5000,1,1,4.2570,42719863,52719863
36,8,0.5000,0,1,7.5350,82365071,82365071
37,8,0.5000,1,0,8.5953,46913028,46713028
38,8,0.5000,1,1,6.3737,84263750,84263759
39,2,0.5000,1,1,3.0082,79,39
40,5,0.5000,1,1,1.7593,14658,17658
41,2,0.5000,1,1,1.7705,09,69
42,8,0.5000,0,1,1.6965,15749268,15749268
43,5,0.5000,1,0,1.7017,18469,58469
44,8,0.5000,0,0,5.4026,13042957,13042957
45,8,0.5000,1,1,6.6667,28301475,29301475
46,5,0.5000,0,1,1.8243,95148,95148
47,2,0.5000,0,0,1.5495,59,59
48,5,0.5000,1,0,7.2564,80946,80941
