Trial, SetSize, Cond, testChange, respChange, RT, study, test
1,8,0.7000,1,1,1.7000,01735692,01738692
2,2,0.7000,0,0,0.7643,45,45
3,5,0.7000,0,1,0.6933,29784,29784
4,8,0.7000,0,1,0.2563,68054372,68054372
5,8,0.7000,0,0,0.7345,50174263,50174263
6,5,0.7000,1,1,0.4476,81203,41203
7,8,0.7000,1,0,0.7805,17594863,17594860
8,8,0.7000,1,1,0.4907,17623509,47623509
9,8,0.7000,1,1,0.9208,58234109,58237109
10,2,0.7000,1,1,0.6371,29,25
11,2,0.7000,1,1,0.5373,23,25
12,2,0.7000,1,1,0.4253,54,52
13,2,0.7000,0,1,0.4954,13,13
14,2,0.7000,0,0,0.8376,60,60
15,5,0.7000,1,0,1.2146,96875,96805
16,8,0.7000,1,0,0.7695,58790346,58790342
17,8,0.7000,1,1,0.6017,41967058,41967053
18,8,0.7000,0,1,0.3479,98267051,98267051
19,5,0.7000,0,1,0.3270,06854,06854
20,5,0.7000,1,1,0.3591,73628,73625
21,2,0.7000,1,1,0.4343,39,09
22,8,0.7000,1,1,0.4842,48059263,78059263
23,5,0.7000,1,1,1.2153,26078,26079
24,8,0.7000,1,1,0.4264,21608354,21608359
25,5,0.7000,1,0,0.9916,29846,59846
26,2,0.7000,1,1,0.3868,80,81
27,5,0.7000,1,1,0.4398,92418,92468
28,5,0.7000,0,0,0.7299,74580,74580
29,8,0.7000,0,1,0.6089,51709326,51709326
30,8,0.7000,1,0,0.2971,73294501,73294561
31,5,0.7000,1,0,1.1262,78901,78941
32,8,0.7000,0,1,0.2373,02541396,02541396
33,2,0.7000,0,0,0.3936,25,25
34,2,0.7000,1,1,0.7176,61,01
35,2,0.7000,1,0,0.4338,19,59
36,8,0.7000,1,0,0.5616,69320718,59320718
37,8,0.7000,1,1,0.2997,54912863,54972863
38,5,0.7000,1,0,0.4809,30796,30792
39,2,0.7000,1,1,0.6201,52,72
40,8,0.7000,0,1,0.5281,47586293,47586293
41,2,0.7000,1,0,0.6263,58,48
42,5,0.7000,1,1,0.5094,34701,54701
43,2,0.7000,1,0,0.8605,97,95
44,5,0.7000,1,1,0.8876,37985,37925
45,8,0.7000,1,0,0.5985,13064872,19064872
46,2,0.7000,0,1,0.4109,51,51
47,2,0.7000,1,0,0.4690,82,86
48,5,0.7000,0,1,0.5120,54289,54289
49,5,0.7000,0,1,0.0821,30624,30624
50,2,0.7000,1,0,0.4532,51,53
51,5,0.7000,1,1,0.4123,89201,89206
52,5,0.7000,1,1,0.4444,96187,96183
53,2,0.7000,1,0,0.4076,92,02
54,8,0.7000,1,0,0.9635,04851692,04871692
55,8,0.7000,1,1,1.2676,97530681,94530681
56,2,0.7000,0,0,0.7539,24,24
57,5,0.7000,0,1,1.6128,26491,26491
58,2,0.7000,1,1,0.7961,69,59
59,5,0.7000,1,0,1.5351,83940,83640
60,5,0.7000,1,0,0.5673,52816,32816
1,8,0.5000,0,0,0.5744,65970312,65970312
2,5,0.5000,1,0,2.1016,30217,30417
3,8,0.5000,0,1,0.3866,08576294,08576294
4,8,0.5000,0,0,0.8127,30528169,30528169
5,5,0.5000,0,0,0.3739,29470,29470
6,8,0.5000,1,0,0.4909,54267890,51267890
7,8,0.5000,1,1,0.3690,09241385,09261385
8,2,0.5000,0,0,0.5553,40,40
9,8,0.5000,1,0,0.5051,42798516,42798016
10,5,0.5000,0,0,0.4483,25047,25047
11,5,0.5000,1,1,0.3525,97054,96054
12,5,0.5000,0,0,0.4906,91065,91065
13,2,0.5000,0,0,0.3798,61,61
14,2,0.5000,0,0,0.4119,27,27
15,2,0.5000,1,1,1.1800,93,97
16,5,0.5000,1,0,0.6729,78954,78956
17,2,0.5000,0,0,0.3482,58,58
18,8,0.5000,0,1,0.5981,84706319,84706319
19,2,0.5000,1,0,0.4684,28,68
