Trial, SetSize, Cond, testChange, respChange, RT, study, test
1,5,0.7000,0,0,2.8836,96354,96354
2,8,0.7000,1,1,1.6166,48379560,48372560
3,2,0.7000,1,0,0.7550,85,25
4,2,0.7000,1,1,1.9570,24,04
5,2,0.7000,1,1,0.8171,64,34
6,5,0.7000,0,0,0.9821,57940,57940
7,2,0.7000,0,0,0.5892,45,45
8,2,0.7000,0,0,0.8033,69,69
9,8,0.7000,1,1,1.3392,07152936,07852936
10,8,0.7000,1,0,0.8413,47631598,47631590
11,2,0.7000,1,1,0.9575,59,58
12,2,0.7000,0,0,0.8335,43,43
13,8,0.7000,1,0,0.8994,64052831,64952831
14,5,0.7000,1,0,0.7306,64012,54012
15,5,0.7000,1,1,0.7226,54970,54670
16,5,0.7000,0,0,0.6447,93257,93257
17,8,0.7000,0,1,0.9957,17320986,17320986
18,5,0.7000,0,0,0.4869,09638,09638
19,8,0.7000,1,1,1.0058,03527168,03527164
20,8,0.7000,0,0,0.5980,23571680,23571680
21,8,0.7000,1,1,0.6619,42163598,47163598
22,2,0.7000,1,1,1.0923,38,34
23,5,0.7000,1,1,0.5632,30981,30982
24,8,0.7000,0,0,0.7322,37608219,37608219
25,2,0.7000,1,1,0.7744,74,73
26,2,0.7000,1,1,0.7026,43,41
27,2,0.7000,1,1,0.6026,61,01
28,5,0.7000,1,1,0.6276,21935,71935
29,8,0.7000,1,0,0.8464,07249861,07249863
30,5,0.7000,1,0,0.8477,59047,29047
31,8,0.7000,0,1,0.7905,96875013,96875013
32,5,0.7000,1,1,0.7718,94253,96253
33,8,0.7000,1,1,1.0347,46705138,46705139
34,8,0.7000,0,0,0.5649,21739846,21739846
35,8,0.7000,1,0,0.5169,91467523,91468523
36,5,0.7000,1,0,0.9441,81692,81592
37,5,0.7000,1,1,0.8782,54608,52608
38,5,0.7000,1,1,1.1522,50623,59623
39,5,0.7000,1,1,0.7082,81607,81507
40,2,0.7000,1,1,0.6915,46,06
41,5,0.7000,1,1,0.8663,21495,21485
42,8,0.7000,1,1,0.8933,42913856,42903856
43,5,0.7000,0,0,0.4226,70896,70896
44,8,0.7000,1,0,0.6595,04238195,04738195
45,2,0.7000,1,1,0.6418,72,92
46,2,0.7000,1,1,0.4839,85,82
47,5,0.7000,1,0,1.4128,28943,28743
48,5,0.7000,0,0,0.6189,78950,78950
49,2,0.7000,1,1,0.5241,49,42
50,2,0.7000,1,1,0.6441,48,68
51,2,0.7000,1,0,0.5982,57,53
52,5,0.7000,1,1,0.6471,61075,61475
53,5,0.7000,1,1,0.6152,27608,27605
54,8,0.7000,1,1,0.5402,83769021,83749021
55,8,0.7000,1,1,0.8421,63742895,63742095
56,2,0.7000,0,0,0.5185,17,17
57,2,0.7000,0,0,0.6666,48,48
58,8,0.7000,1,0,0.5323,42596308,42576308
59,2,0.7000,0,0,0.6067,46,46
60,8,0.7000,0,0,0.6605,60735892,60735892
1,8,0.5000,0,0,0.6470,14056289,14056289
2,2,0.5000,0,0,0.3633,62,62
3,5,0.5000,0,0,0.5782,90617,90617
4,2,0.5000,1,1,0.4754,67,27
5,2,0.5000,1,1,0.6315,89,81
6,8,0.5000,1,1,0.4173,46352981,76352981
7,5,0.5000,0,0,0.5925,98176,98176
8,2,0.5000,0,0,0.3317,27,27
9,8,0.5000,1,1,0.5935,94127358,94127350
10,8,0.5000,0,0,0.5157,98613725,98613725
11,2,0.5000,0,0,0.5778,60,60
12,2,0.5000,1,1,0.3939,25,20
13,5,0.5000,0,0,1.2448,78269,78269
14,5,0.5000,0,0,0.6230,83926,83926
15,5,0.5000,1,1,0.6369,35028,35628
16,8,0.5000,1,0,0.5559,70342568,70312568
17,5,0.5000,1,1,0.5512,86743,86742
18,5,0.5000,0,0,0.8572,02813,02813
19,8,0.5000,1,0,0.5662,21683597,21683497
20,5,0.5000,1,1,0.7193,14807,94807
21,2,0.5000,1,1,0.6665,82,32
22,8,0.5000,1,0,0.5644,26590138,26590137
23,2,0.5000,0,0,0.7426,73,73
24,2,0.5000,1,1,0.5327,13,19
25,8,0.5000,0,0,0.6585,87062145,87062145
26,5,0.5000,0,0,0.4497,12758,12758
27,8,0.5000,0,0,0.5106,81732509,81732509
28,5,0.5000,1,1,0.5638,21543,21043
29,8,0.5000,0,0,0.6028,92145736,92145736
30,5,0.5000,1,0,0.5419,16935,16235
31,2,0.5000,0,0,0.7572,98,98
32,2,0.5000,0,0,0.3672,85,85
33,5,0.5000,1,0,0.3761,48563,18563
34,2,0.5000,1,1,0.3853,64,04
35,5,0.5000,1,1,0.6943,02895,62895
36,2,0.5000,0,0,0.6474,20,20
37,5,0.5000,1,0,0.5123,38049,38019
38,2,0.5000,1,1,0.5975,14,19
39,2,0.5000,0,0,0.8576,18,18
40,8,0.5000,0,0,0.5714,59321067,59321067
41,8,0.5000,1,0,0.5155,10246389,10256389
42,8,0.5000,1,0,0.3736,34928150,37928150
43,8,0.5000,0,1,0.7536,09853267,09853267
44,5,0.5000,0,0,0.6308,94075,94075
45,8,0.5000,0,0,0.5198,79102538,79102538
46,2,0.5000,0,0,0.5160,76,76
47,5,0.5000,0,0,0.7350,07635,07635
48,5,0.5000,0,0,0.6230,45870,45870
49,5,0.5000,1,1,0.4611,49728,46728
50,5,0.5000,0,0,0.7072,86340,86340
51,2,0.5000,1,1,0.7384,79,19
52,2,0.5000,1,1,0.4905,65,45
53,2,0.5000,0,0,0.3565,30,30
54,8,0.5000,1,1,0.5405,60381927,60481927
55,8,0.5000,1,0,0.7784,09561372,08561372
56,8,0.5000,0,0,0.9444,39812574,39812574
57,2,0.5000,1,1,0.4247,49,69
58,8,0.5000,0,0,0.6985,06243187,06243187
59,8,0.5000,1,0,0.8887,08523974,08623974
60,5,0.5000,1,1,0.6098,58731,28731
1,8,0.3000,0,0,0.8328,52946718,52946718
2,5,0.3000,0,0,0.4841,82574,82574
3,8,0.3000,0,1,0.7070,16284903,16284903
4,5,0.3000,1,1,0.6462,41056,41756
5,5,0.3000,0,0,0.5842,54072,54072
6,8,0.3000,0,0,0.5072,90678453,90678453
7,5,0.3000,1,0,0.7104,72304,52304
8,5,0.3000,0,0,0.6584,02914,02914
9,2,0.3000,0,0,0.3956,35,35
10,5,0.3000,0,0,0.5186,64935,64935
11,5,0.3000,0,0,0.4566,19527,19527
12,8,0.3000,0,0,1.1016,61092358,61092358
13,8,0.3000,0,0,0.9237,78496102,78496102
14,2,0.3000,0,0,0.4719,93,93
15,2,0.3000,0,0,0.5079,14,14
16,5,0.3000,1,1,0.6469,68915,63915
17,8,0.3000,1,0,0.7019,61580792,61530792
18,5,0.3000,0,0,0.6130,36795,36795
19,8,0.3000,0,0,0.5720,10645278,10645278
20,8,0.3000,1,1,0.6600,50861243,50961243
21,2,0.3000,1,1,0.5164,47,40
22,5,0.3000,0,0,0.4134,91657,91657
